Date;Time;NO2(GT);PT08.S4(NO2)
14.03.2004;03.00.00;-200;1620
14.03.2004;04.00.00;82;1452
14.03.2004;05.00.00;70;1377
14.03.2004;06.00.00;63;1333
14.03.2004;07.00.00;67;1340
14.03.2004;08.00.00;84;1414
14.03.2004;09.00.00;83;1527
14.03.2004;10.00.00;98;1614
14.03.2004;11.00.00;114;1696
14.03.2004;12.00.00;119;1677
14.03.2004;13.00.00;104;1525
14.03.2004;14.00.00;102;1490
14.03.2004;15.00.00;107;1511
14.03.2004;16.00.00;129;1646
14.03.2004;17.00.00;128;1668
14.03.2004;18.00.00;121;1671
14.03.2004;19.00.00;157;1993
14.03.2004;20.00.00;173;2103
14.03.2004;21.00.00;146;1818
14.03.2004;22.00.00;121;1587
14.03.2004;23.00.00;119;1617
15.03.2004;00.00.00;99;1547
15.03.2004;01.00.00;93;1543
15.03.2004;02.00.00;88;1566
15.03.2004;03.00.00;-200;1487
15.03.2004;04.00.00;71;1468
15.03.2004;05.00.00;74;1464
15.03.2004;06.00.00;80;1584
15.03.2004;07.00.00;89;1710
15.03.2004;08.00.00;114;2323
15.03.2004;09.00.00;149;2665
15.03.2004;10.00.00;157;2262
15.03.2004;11.00.00;155;2029
15.03.2004;12.00.00;134;1783
15.03.2004;13.00.00;119;1831
15.03.2004;14.00.00;111;1829
15.03.2004;15.00.00;104;1707
15.03.2004;16.00.00;99;1675
15.03.2004;17.00.00;110;1824
15.03.2004;18.00.00;162;2447
15.03.2004;19.00.00;187;2679
15.03.2004;20.00.00;165;2443
15.03.2004;21.00.00;145;2058
15.03.2004;22.00.00;125;1856
15.03.2004;23.00.00;101;1547
16.03.2004;00.00.00;103;1731
16.03.2004;01.00.00;88;1483
16.03.2004;02.00.00;61;1386
16.03.2004;03.00.00;-200;1364
16.03.2004;04.00.00;59;1373
16.03.2004;05.00.00;52;1348
16.03.2004;06.00.00;64;1418
16.03.2004;07.00.00;70;1467
16.03.2004;08.00.00;97;1889
16.03.2004;09.00.00;95;2055
16.03.2004;10.00.00;150;2211
16.03.2004;11.00.00;162;1973
16.03.2004;12.00.00;154;1868
16.03.2004;13.00.00;161;1998
16.03.2004;14.00.00;161;1897
16.03.2004;15.00.00;128;1675
16.03.2004;16.00.00;129;1759
16.03.2004;17.00.00;133;1739
16.03.2004;18.00.00;139;1778
16.03.2004;19.00.00;137;1875
16.03.2004;20.00.00;143;1776
16.03.2004;21.00.00;177;2106
16.03.2004;22.00.00;138;1710
16.03.2004;23.00.00;117;1560
17.03.2004;00.00.00;107;1547
17.03.2004;01.00.00;90;1442
17.03.2004;02.00.00;79;1383
17.03.2004;03.00.00;-200;1332
17.03.2004;04.00.00;60;1303
17.03.2004;05.00.00;40;1268
17.03.2004;06.00.00;53;1289
17.03.2004;07.00.00;84;1556
17.03.2004;08.00.00;108;1999
17.03.2004;09.00.00;127;2535
17.03.2004;10.00.00;134;2026
17.03.2004;11.00.00;135;1782
17.03.2004;12.00.00;142;1654
17.03.2004;13.00.00;153;1747
17.03.2004;14.00.00;123;1712
17.03.2004;15.00.00;104;1520
17.03.2004;16.00.00;129;1679
17.03.2004;17.00.00;114;1525
17.03.2004;18.00.00;158;1981
17.03.2004;19.00.00;194;2414
17.03.2004;20.00.00;182;2416
17.03.2004;21.00.00;180;2174
17.03.2004;22.00.00;136;1727
17.03.2004;23.00.00;127;1778
18.03.2004;00.00.00;116;1669
18.03.2004;01.00.00;107;1502
18.03.2004;02.00.00;88;1407
18.03.2004;03.00.00;-200;1351
18.03.2004;04.00.00;78;1334
18.03.2004;05.00.00;57;1307
18.03.2004;06.00.00;71;1333
18.03.2004;07.00.00;85;1551
18.03.2004;08.00.00;124;2094
18.03.2004;09.00.00;151;2468
18.03.2004;10.00.00;150;2010
18.03.2004;11.00.00;152;1752
18.03.2004;12.00.00;139;1663
18.03.2004;13.00.00;133;1648
18.03.2004;14.00.00;126;1660
18.03.2004;15.00.00;128;1639
18.03.2004;16.00.00;169;1767
18.03.2004;17.00.00;149;1689
18.03.2004;18.00.00;156;1957
18.03.2004;19.00.00;168;2118
18.03.2004;20.00.00;176;2051
18.03.2004;21.00.00;135;1732
18.03.2004;22.00.00;121;1621
18.03.2004;23.00.00;99;1545
19.03.2004;00.00.00;106;1606
19.03.2004;01.00.00;96;1501
19.03.2004;02.00.00;63;1380
19.03.2004;03.00.00;-200;1301
19.03.2004;04.00.00;32;1280
19.03.2004;05.00.00;28;1260
19.03.2004;06.00.00;61;1324
19.03.2004;07.00.00;99;1539
19.03.2004;08.00.00;157;2144
19.03.2004;09.00.00;166;2456
19.03.2004;10.00.00;149;1980
19.03.2004;11.00.00;135;1879
19.03.2004;12.00.00;127;1751
19.03.2004;13.00.00;122;1801
19.03.2004;14.00.00;135;1875
19.03.2004;15.00.00;139;1957
19.03.2004;16.00.00;147;1955
19.03.2004;17.00.00;158;2005
19.03.2004;18.00.00;146;1952
19.03.2004;19.00.00;144;1997
19.03.2004;20.00.00;138;1942
19.03.2004;21.00.00;143;1854
19.03.2004;22.00.00;116;1604
19.03.2004;23.00.00;109;1547
20.03.2004;00.00.00;92;1447
20.03.2004;01.00.00;83;1429
20.03.2004;02.00.00;81;1382
20.03.2004;03.00.00;-200;1359
20.03.2004;04.00.00;55;1332
20.03.2004;05.00.00;53;1351
20.03.2004;06.00.00;67;1342
20.03.2004;07.00.00;91;1461
20.03.2004;08.00.00;113;1623
20.03.2004;09.00.00;102;1689
20.03.2004;10.00.00;107;1764
20.03.2004;11.00.00;113;1768
20.03.2004;12.00.00;108;1757
20.03.2004;13.00.00;105;1735
20.03.2004;14.00.00;93;1636
20.03.2004;15.00.00;87;1573
20.03.2004;16.00.00;76;1539
20.03.2004;17.00.00;94;1649
20.03.2004;18.00.00;110;1774
20.03.2004;19.00.00;136;1919
20.03.2004;20.00.00;139;1885
20.03.2004;21.00.00;125;1820
20.03.2004;22.00.00;111;1712
20.03.2004;23.00.00;97;1672
21.03.2004;00.00.00;107;1714
21.03.2004;01.00.00;90;1577
21.03.2004;02.00.00;84;1526
21.03.2004;03.00.00;-200;1554
21.03.2004;04.00.00;87;1539
21.03.2004;05.00.00;66;1461
21.03.2004;06.00.00;36;1390
21.03.2004;07.00.00;62;1492
21.03.2004;08.00.00;91;1528
21.03.2004;09.00.00;89;1560
21.03.2004;10.00.00;93;1633
21.03.2004;11.00.00;81;1646
21.03.2004;12.00.00;82;1617
21.03.2004;13.00.00;80;1568
21.03.2004;14.00.00;48;1507
21.03.2004;15.00.00;61;1669
21.03.2004;16.00.00;89;1506
21.03.2004;17.00.00;105;1607
21.03.2004;18.00.00;116;1874
21.03.2004;19.00.00;119;1744
21.03.2004;20.00.00;144;1840
21.03.2004;21.00.00;123;1673
21.03.2004;22.00.00;105;1594
21.03.2004;23.00.00;93;1624
22.03.2004;00.00.00;86;1582
22.03.2004;01.00.00;76;1547
22.03.2004;02.00.00;33;1355
22.03.2004;03.00.00;-200;1274
22.03.2004;04.00.00;27;1304
22.03.2004;05.00.00;23;1278
22.03.2004;06.00.00;46;1373
22.03.2004;07.00.00;76;1538
22.03.2004;08.00.00;116;1996
22.03.2004;09.00.00;115;1962
22.03.2004;10.00.00;83;1484
22.03.2004;11.00.00;87;1509
22.03.2004;12.00.00;90;1577
22.03.2004;13.00.00;87;1599
22.03.2004;14.00.00;99;1607
22.03.2004;15.00.00;99;1574
22.03.2004;16.00.00;101;1544
22.03.2004;17.00.00;103;1606
22.03.2004;18.00.00;129;1932
22.03.2004;19.00.00;143;1993
22.03.2004;20.00.00;146;1965
22.03.2004;21.00.00;124;1758
22.03.2004;22.00.00;113;1561
22.03.2004;23.00.00;80;1370
23.03.2004;00.00.00;72;1359
23.03.2004;01.00.00;64;1309
23.03.2004;02.00.00;70;1330
23.03.2004;03.00.00;-200;1285
23.03.2004;04.00.00;31;1261
23.03.2004;05.00.00;22;1212
23.03.2004;06.00.00;47;1287
23.03.2004;07.00.00;88;1429
23.03.2004;08.00.00;130;1829
23.03.2004;09.00.00;132;2095
23.03.2004;10.00.00;132;1857
23.03.2004;11.00.00;131;1794
23.03.2004;12.00.00;129;1746
23.03.2004;13.00.00;132;1847
23.03.2004;14.00.00;110;1639
23.03.2004;15.00.00;99;1589
23.03.2004;16.00.00;100;1570
23.03.2004;17.00.00;122;1719
23.03.2004;18.00.00;97;1514
23.03.2004;19.00.00;112;1688
23.03.2004;20.00.00;128;1722
23.03.2004;21.00.00;101;1487
23.03.2004;22.00.00;96;1375
23.03.2004;23.00.00;86;1425
24.03.2004;00.00.00;85;1411
24.03.2004;01.00.00;79;1405
24.03.2004;02.00.00;61;1326
24.03.2004;03.00.00;-200;1272
24.03.2004;04.00.00;66;1287
24.03.2004;05.00.00;54;1255
24.03.2004;06.00.00;57;1255
24.03.2004;07.00.00;75;1403
24.03.2004;08.00.00;97;1706
24.03.2004;09.00.00;110;2080
24.03.2004;10.00.00;113;1770
24.03.2004;11.00.00;88;1505
24.03.2004;12.00.00;85;1440
24.03.2004;13.00.00;96;1477
24.03.2004;14.00.00;106;1566
24.03.2004;15.00.00;91;1494
24.03.2004;16.00.00;126;1730
24.03.2004;17.00.00;130;1783
24.03.2004;18.00.00;111;1722
24.03.2004;19.00.00;134;2008
24.03.2004;20.00.00;136;1744
24.03.2004;21.00.00;125;1571
24.03.2004;22.00.00;108;1435
24.03.2004;23.00.00;87;1354
25.03.2004;00.00.00;89;1341
25.03.2004;01.00.00;58;1249
25.03.2004;02.00.00;54;1253
25.03.2004;03.00.00;-200;1224
25.03.2004;04.00.00;28;1212
25.03.2004;05.00.00;20;1158
25.03.2004;06.00.00;51;1268
25.03.2004;07.00.00;82;1383
25.03.2004;08.00.00;112;1721
25.03.2004;09.00.00;119;1937
25.03.2004;10.00.00;99;1552
25.03.2004;11.00.00;98;1468
25.03.2004;12.00.00;88;1442
25.03.2004;13.00.00;96;1570
25.03.2004;14.00.00;81;1492
25.03.2004;15.00.00;92;1501
25.03.2004;16.00.00;105;1545
25.03.2004;17.00.00;88;1527
25.03.2004;18.00.00;103;1748
25.03.2004;19.00.00;141;2060
25.03.2004;20.00.00;133;1982
25.03.2004;21.00.00;119;1539
25.03.2004;22.00.00;106;1376
25.03.2004;23.00.00;92;1324
26.03.2004;00.00.00;97;1373
26.03.2004;01.00.00;91;1357
26.03.2004;02.00.00;83;1313
26.03.2004;03.00.00;-200;1219
26.03.2004;04.00.00;59;1263
26.03.2004;05.00.00;73;1312
26.03.2004;06.00.00;78;1363
26.03.2004;07.00.00;90;1438
26.03.2004;08.00.00;110;1828
26.03.2004;09.00.00;114;1928
26.03.2004;10.00.00;119;1747
26.03.2004;11.00.00;121;1664
26.03.2004;12.00.00;97;1503
26.03.2004;13.00.00;99;1535
26.03.2004;14.00.00;85;1391
26.03.2004;15.00.00;75;1279
26.03.2004;16.00.00;87;1454
26.03.2004;17.00.00;102;1588
26.03.2004;18.00.00;105;1580
26.03.2004;19.00.00;98;1540
26.03.2004;20.00.00;93;1490
26.03.2004;21.00.00;91;1308
26.03.2004;22.00.00;85;1252
26.03.2004;23.00.00;74;1258
27.03.2004;00.00.00;87;1307
27.03.2004;01.00.00;79;1232
27.03.2004;02.00.00;78;1312
27.03.2004;03.00.00;-200;1292
27.03.2004;04.00.00;63;1296
27.03.2004;05.00.00;48;1212
27.03.2004;06.00.00;59;1250
27.03.2004;07.00.00;65;1266
27.03.2004;08.00.00;71;1418
27.03.2004;09.00.00;84;1530
27.03.2004;10.00.00;93;1520
27.03.2004;11.00.00;99;1451
27.03.2004;12.00.00;93;1449
27.03.2004;13.00.00;96;1467
27.03.2004;14.00.00;114;1596
27.03.2004;15.00.00;101;1357
27.03.2004;16.00.00;108;1538
27.03.2004;17.00.00;117;1508
27.03.2004;18.00.00;125;1586
27.03.2004;19.00.00;133;1621
27.03.2004;20.00.00;119;1633
27.03.2004;21.00.00;107;1475
27.03.2004;22.00.00;96;1421
27.03.2004;23.00.00;105;1483
28.03.2004;00.00.00;102;1464
28.03.2004;01.00.00;97;1451
28.03.2004;02.00.00;79;1395
28.03.2004;03.00.00;-200;1501
28.03.2004;04.00.00;69;1396
28.03.2004;05.00.00;52;1284
28.03.2004;06.00.00;62;1342
28.03.2004;07.00.00;69;1321
28.03.2004;08.00.00;75;1382
28.03.2004;09.00.00;83;1486
28.03.2004;10.00.00;94;1501
28.03.2004;11.00.00;96;1514
28.03.2004;12.00.00;86;1438
28.03.2004;13.00.00;72;1287
28.03.2004;14.00.00;53;1189
28.03.2004;15.00.00;65;1260
28.03.2004;16.00.00;70;1244
28.03.2004;17.00.00;75;1238
28.03.2004;18.00.00;86;1301
28.03.2004;19.00.00;94;1357
28.03.2004;20.00.00;103;1329
28.03.2004;21.00.00;81;1246
28.03.2004;22.00.00;80;1224
28.03.2004;23.00.00;77;1204
29.03.2004;00.00.00;58;1156
29.03.2004;01.00.00;31;1071
29.03.2004;02.00.00;38;1076
29.03.2004;03.00.00;-200;1095
29.03.2004;04.00.00;59;1153
29.03.2004;05.00.00;70;1180
29.03.2004;06.00.00;75;1232
29.03.2004;07.00.00;103;1687
29.03.2004;08.00.00;134;1806
29.03.2004;09.00.00;98;1258
29.03.2004;10.00.00;97;1254
29.03.2004;11.00.00;98;1293
29.03.2004;12.00.00;78;1272
29.03.2004;13.00.00;83;1332
29.03.2004;14.00.00;92;1268
29.03.2004;15.00.00;81;1247
29.03.2004;16.00.00;90;1289
29.03.2004;17.00.00;95;1358
29.03.2004;18.00.00;114;1477
29.03.2004;19.00.00;106;1404
29.03.2004;20.00.00;99;1302
29.03.2004;21.00.00;90;1178
29.03.2004;22.00.00;82;1137
29.03.2004;23.00.00;74;1089
30.03.2004;00.00.00;76;1050
30.03.2004;01.00.00;66;1055
30.03.2004;02.00.00;73;1130
30.03.2004;03.00.00;-200;1104
30.03.2004;04.00.00;69;1101
30.03.2004;05.00.00;71;1117
30.03.2004;06.00.00;98;1266
30.03.2004;07.00.00;115;1587
30.03.2004;08.00.00;130;1947
30.03.2004;09.00.00;150;1852
30.03.2004;10.00.00;159;1872
30.03.2004;11.00.00;146;1754
30.03.2004;12.00.00;138;1763
30.03.2004;13.00.00;128;1711
30.03.2004;14.00.00;97;1448
30.03.2004;15.00.00;91;1372
30.03.2004;16.00.00;81;1325
30.03.2004;17.00.00;99;1527
30.03.2004;18.00.00;101;1532
30.03.2004;19.00.00;106;1638
30.03.2004;20.00.00;102;1534
30.03.2004;21.00.00;84;1360
30.03.2004;22.00.00;81;1323
30.03.2004;23.00.00;91;1360
31.03.2004;00.00.00;82;1287
31.03.2004;01.00.00;64;1240
31.03.2004;02.00.00;70;1256
31.03.2004;03.00.00;-200;1066
31.03.2004;04.00.00;26;1064
31.03.2004;05.00.00;58;1131
31.03.2004;06.00.00;93;1279
31.03.2004;07.00.00;110;1926
31.03.2004;08.00.00;115;1957
31.03.2004;09.00.00;125;1576
31.03.2004;10.00.00;118;1498
31.03.2004;11.00.00;109;1579
31.03.2004;12.00.00;123;1772
31.03.2004;13.00.00;114;1638
31.03.2004;14.00.00;114;1748
31.03.2004;15.00.00;119;1799
31.03.2004;16.00.00;111;1637
31.03.2004;17.00.00;103;1681
31.03.2004;18.00.00;103;1712
31.03.2004;19.00.00;107;1669
31.03.2004;20.00.00;105;1588
31.03.2004;21.00.00;91;1418
31.03.2004;22.00.00;79;1409
31.03.2004;23.00.00;79;1395
01.04.2004;00.00.00;86;1477
01.04.2004;01.00.00;70;1425
01.04.2004;02.00.00;55;1405
01.04.2004;03.00.00;-200;1422
01.04.2004;04.00.00;49;1322
01.04.2004;05.00.00;50;1340
01.04.2004;06.00.00;67;1561
01.04.2004;07.00.00;94;1949
01.04.2004;08.00.00;119;2439
01.04.2004;09.00.00;139;2001
01.04.2004;10.00.00;113;1701
01.04.2004;11.00.00;88;1489
01.04.2004;12.00.00;73;1524
01.04.2004;13.00.00;73;1542
01.04.2004;14.00.00;72;-200
01.04.2004;15.00.00;81;-200
01.04.2004;16.00.00;93;-200
01.04.2004;17.00.00;106;1193
01.04.2004;18.00.00;132;2028
01.04.2004;19.00.00;164;2089
01.04.2004;20.00.00;161;1922
01.04.2004;21.00.00;124;1604
01.04.2004;22.00.00;113;1570
01.04.2004;23.00.00;103;1529
02.04.2004;00.00.00;104;1514
02.04.2004;01.00.00;93;1442
02.04.2004;02.00.00;60;1350
02.04.2004;03.00.00;-200;1381
02.04.2004;04.00.00;52;1342
02.04.2004;05.00.00;66;1372
02.04.2004;06.00.00;82;1448
02.04.2004;07.00.00;109;1833
02.04.2004;08.00.00;114;2060
02.04.2004;09.00.00;139;2054
02.04.2004;10.00.00;127;1898
02.04.2004;11.00.00;127;1821
02.04.2004;12.00.00;135;1825
02.04.2004;13.00.00;130;1773
02.04.2004;14.00.00;126;1761
02.04.2004;15.00.00;121;1703
02.04.2004;16.00.00;122;1632
02.04.2004;17.00.00;138;1799
02.04.2004;18.00.00;165;1915
02.04.2004;19.00.00;154;2052
02.04.2004;20.00.00;168;2083
02.04.2004;21.00.00;146;1685
02.04.2004;22.00.00;124;1582
02.04.2004;23.00.00;124;1684
03.04.2004;00.00.00;106;1566
03.04.2004;01.00.00;88;1488
03.04.2004;02.00.00;83;1455
03.04.2004;03.00.00;-200;1410
03.04.2004;04.00.00;74;1380
03.04.2004;05.00.00;64;1387
03.04.2004;06.00.00;69;1398
03.04.2004;07.00.00;91;1660
03.04.2004;08.00.00;96;1872
03.04.2004;09.00.00;106;1816
03.04.2004;10.00.00;-200;1720
03.04.2004;11.00.00;-200;1743
03.04.2004;12.00.00;-200;1779
03.04.2004;13.00.00;-200;1621
03.04.2004;14.00.00;-200;1573
03.04.2004;15.00.00;-200;1635
03.04.2004;16.00.00;-200;1704
03.04.2004;17.00.00;-200;1722
03.04.2004;18.00.00;-200;1798
03.04.2004;19.00.00;-200;2153
03.04.2004;20.00.00;-200;1823
03.04.2004;21.00.00;-200;1602
03.04.2004;22.00.00;-200;1870
03.04.2004;23.00.00;-200;1644
04.04.2004;00.00.00;-200;1580
04.04.2004;01.00.00;-200;1551
04.04.2004;02.00.00;-200;1500
04.04.2004;03.00.00;-200;1521
04.04.2004;04.00.00;-200;1448
04.04.2004;05.00.00;-200;1434
04.04.2004;06.00.00;-200;1488
04.04.2004;07.00.00;-200;1423
04.04.2004;08.00.00;-200;1461
04.04.2004;09.00.00;-200;1634
04.04.2004;10.00.00;-200;1658
04.04.2004;11.00.00;-200;1589
04.04.2004;12.00.00;-200;1603
04.04.2004;13.00.00;-200;1531
04.04.2004;14.00.00;-200;1476
04.04.2004;15.00.00;-200;1642
04.04.2004;16.00.00;-200;1678
04.04.2004;17.00.00;-200;1626
04.04.2004;18.00.00;-200;1636
04.04.2004;19.00.00;-200;1756
04.04.2004;20.00.00;-200;1673
04.04.2004;21.00.00;-200;1493
04.04.2004;22.00.00;-200;1556
04.04.2004;23.00.00;-200;1540
05.04.2004;00.00.00;-200;1470
05.04.2004;01.00.00;-200;1330
05.04.2004;02.00.00;-200;1375
05.04.2004;03.00.00;-200;1294
05.04.2004;04.00.00;-200;1278
05.04.2004;05.00.00;-200;1417
05.04.2004;06.00.00;-200;1541
05.04.2004;07.00.00;-200;1795
05.04.2004;08.00.00;-200;2299
05.04.2004;09.00.00;-200;1972
05.04.2004;10.00.00;124;1836
05.04.2004;11.00.00;121;1853
05.04.2004;12.00.00;114;1942
05.04.2004;13.00.00;114;1915
05.04.2004;14.00.00;106;1793
05.04.2004;15.00.00;89;1705
05.04.2004;16.00.00;82;1662
05.04.2004;17.00.00;111;1877
05.04.2004;18.00.00;132;2011
05.04.2004;19.00.00;121;1957
05.04.2004;20.00.00;116;1796
05.04.2004;21.00.00;100;1622
05.04.2004;22.00.00;89;1589
05.04.2004;23.00.00;92;1554
06.04.2004;00.00.00;71;1428
06.04.2004;01.00.00;51;1382
06.04.2004;02.00.00;39;1336
06.04.2004;03.00.00;-200;1370
06.04.2004;04.00.00;35;1360
06.04.2004;05.00.00;64;1435
06.04.2004;06.00.00;94;1641
06.04.2004;07.00.00;134;2198
06.04.2004;08.00.00;129;2560
06.04.2004;09.00.00;125;2096
06.04.2004;10.00.00;107;1823
06.04.2004;11.00.00;78;1580
06.04.2004;12.00.00;91;1818
06.04.2004;13.00.00;116;1704
06.04.2004;14.00.00;131;1630
06.04.2004;15.00.00;113;1519
06.04.2004;16.00.00;98;1590
06.04.2004;17.00.00;116;1716
06.04.2004;18.00.00;120;1776
06.04.2004;19.00.00;126;1784
06.04.2004;20.00.00;126;1807
06.04.2004;21.00.00;90;1527
06.04.2004;22.00.00;81;1458
06.04.2004;23.00.00;74;1393
07.04.2004;00.00.00;67;1352
07.04.2004;01.00.00;46;1271
07.04.2004;02.00.00;30;1214
07.04.2004;03.00.00;-200;1154
07.04.2004;04.00.00;19;1166
07.04.2004;05.00.00;32;1200
07.04.2004;06.00.00;61;1398
07.04.2004;07.00.00;111;1769
07.04.2004;08.00.00;102;1821
07.04.2004;09.00.00;116;1576
07.04.2004;10.00.00;96;1554
07.04.2004;11.00.00;97;1448
07.04.2004;12.00.00;110;1474
07.04.2004;13.00.00;103;1604
07.04.2004;14.00.00;79;1426
07.04.2004;15.00.00;104;1552
07.04.2004;16.00.00;69;1421
07.04.2004;17.00.00;96;1623
07.04.2004;18.00.00;121;1700
07.04.2004;19.00.00;129;1748
07.04.2004;20.00.00;116;1632
07.04.2004;21.00.00;71;1282
07.04.2004;22.00.00;85;1391
07.04.2004;23.00.00;101;1510
08.04.2004;00.00.00;97;1398
08.04.2004;01.00.00;89;1455
08.04.2004;02.00.00;72;1383
08.04.2004;03.00.00;-200;1338
08.04.2004;04.00.00;57;1263
08.04.2004;05.00.00;62;1288
08.04.2004;06.00.00;64;1384
08.04.2004;07.00.00;80;1723
08.04.2004;08.00.00;118;2189
08.04.2004;09.00.00;130;1885
08.04.2004;10.00.00;113;1620
08.04.2004;11.00.00;112;1678
08.04.2004;12.00.00;96;1541
08.04.2004;13.00.00;125;1609
08.04.2004;14.00.00;128;1551
08.04.2004;15.00.00;101;1552
08.04.2004;16.00.00;95;1454
08.04.2004;17.00.00;138;1798
08.04.2004;18.00.00;154;1972
08.04.2004;19.00.00;171;2167
08.04.2004;20.00.00;136;1699
08.04.2004;21.00.00;93;1410
08.04.2004;22.00.00;99;1411
08.04.2004;23.00.00;106;-200
09.04.2004;00.00.00;109;-200
09.04.2004;01.00.00;97;-200
09.04.2004;02.00.00;83;-200
09.04.2004;03.00.00;-200;-200
09.04.2004;04.00.00;79;-200
09.04.2004;05.00.00;84;-200
09.04.2004;06.00.00;86;-200
09.04.2004;07.00.00;111;-200
09.04.2004;08.00.00;117;-200
09.04.2004;09.00.00;122;-200
09.04.2004;10.00.00;119;-200
09.04.2004;11.00.00;121;-200
09.04.2004;12.00.00;127;-200
09.04.2004;13.00.00;135;-200
09.04.2004;14.00.00;119;-200
09.04.2004;15.00.00;137;-200
09.04.2004;16.00.00;139;-200
09.04.2004;17.00.00;117;-200
09.04.2004;18.00.00;127;-200
09.04.2004;19.00.00;137;-200
09.04.2004;20.00.00;127;-200
09.04.2004;21.00.00;107;-200
09.04.2004;22.00.00;102;-200
09.04.2004;23.00.00;95;1560
10.04.2004;00.00.00;79;1449
10.04.2004;01.00.00;78;1533
10.04.2004;02.00.00;75;1507
10.04.2004;03.00.00;-200;1390
10.04.2004;04.00.00;52;1386
10.04.2004;05.00.00;55;1435
10.04.2004;06.00.00;65;1500
10.04.2004;07.00.00;72;1591
10.04.2004;08.00.00;76;1663
10.04.2004;09.00.00;84;1588
10.04.2004;10.00.00;90;1542
10.04.2004;11.00.00;89;1481
10.04.2004;12.00.00;87;1457
10.04.2004;13.00.00;88;1336
10.04.2004;14.00.00;81;1238
10.04.2004;15.00.00;89;1318
10.04.2004;16.00.00;91;1296
10.04.2004;17.00.00;104;1357
10.04.2004;18.00.00;111;1426
10.04.2004;19.00.00;129;1534
10.04.2004;20.00.00;133;1551
10.04.2004;21.00.00;115;1487
10.04.2004;22.00.00;125;1618
10.04.2004;23.00.00;117;1545
11.04.2004;00.00.00;84;1326
11.04.2004;01.00.00;63;1304
11.04.2004;02.00.00;68;1310
11.04.2004;03.00.00;-200;1329
11.04.2004;04.00.00;52;1286
11.04.2004;05.00.00;49;1306
11.04.2004;06.00.00;49;1301
11.04.2004;07.00.00;52;1298
11.04.2004;08.00.00;58;1343
11.04.2004;09.00.00;51;1320
11.04.2004;10.00.00;77;1386
11.04.2004;11.00.00;90;1412
11.04.2004;12.00.00;118;1425
11.04.2004;13.00.00;70;1200
11.04.2004;14.00.00;35;1076
11.04.2004;15.00.00;46;1108
11.04.2004;16.00.00;58;1150
11.04.2004;17.00.00;61;1183
11.04.2004;18.00.00;80;1233
11.04.2004;19.00.00;93;1285
