Date;Time;NOx(GT);PT08.S3(NOx)
20.03.2004;07.00.00;115;1161
20.03.2004;08.00.00;170;902
20.03.2004;09.00.00;147;834
20.03.2004;10.00.00;166;776
20.03.2004;11.00.00;195;768
20.03.2004;12.00.00;182;782
20.03.2004;13.00.00;168;809
20.03.2004;14.00.00;125;900
20.03.2004;15.00.00;95;980
20.03.2004;16.00.00;79;1036
20.03.2004;17.00.00;119;930
20.03.2004;18.00.00;142;856
20.03.2004;19.00.00;215;734
20.03.2004;20.00.00;229;733
20.03.2004;21.00.00;206;785
20.03.2004;22.00.00;147;864
20.03.2004;23.00.00;122;905
21.03.2004;00.00.00;175;835
21.03.2004;01.00.00;133;941
21.03.2004;02.00.00;89;1004
21.03.2004;03.00.00;-200;987
21.03.2004;04.00.00;85;1029
21.03.2004;05.00.00;55;1136
21.03.2004;06.00.00;24;1300
21.03.2004;07.00.00;72;1143
21.03.2004;08.00.00;122;1062
21.03.2004;09.00.00;111;996
21.03.2004;10.00.00;123;914
21.03.2004;11.00.00;106;911
21.03.2004;12.00.00;103;953
21.03.2004;13.00.00;102;981
21.03.2004;14.00.00;48;1144
21.03.2004;15.00.00;63;962
21.03.2004;16.00.00;98;1060
21.03.2004;17.00.00;132;961
21.03.2004;18.00.00;173;769
21.03.2004;19.00.00;185;823
21.03.2004;20.00.00;266;769
21.03.2004;21.00.00;188;883
21.03.2004;22.00.00;122;933
21.03.2004;23.00.00;112;920
22.03.2004;00.00.00;93;995
22.03.2004;01.00.00;74;1050
22.03.2004;02.00.00;23;1417
22.03.2004;03.00.00;-200;1813
22.03.2004;04.00.00;17;1756
22.03.2004;05.00.00;15;1786
22.03.2004;06.00.00;41;1480
22.03.2004;07.00.00;86;1072
22.03.2004;08.00.00;226;732
22.03.2004;09.00.00;214;711
22.03.2004;10.00.00;115;1032
22.03.2004;11.00.00;124;1026
22.03.2004;12.00.00;122;947
22.03.2004;13.00.00;107;955
22.03.2004;14.00.00;133;952
22.03.2004;15.00.00;130;965
22.03.2004;16.00.00;150;964
22.03.2004;17.00.00;138;928
22.03.2004;18.00.00;213;720
22.03.2004;19.00.00;232;678
22.03.2004;20.00.00;238;678
22.03.2004;21.00.00;180;775
22.03.2004;22.00.00;128;920
22.03.2004;23.00.00;65;1142
23.03.2004;00.00.00;53;1204
23.03.2004;01.00.00;47;1271
23.03.2004;02.00.00;51;1298
23.03.2004;03.00.00;-200;1522
23.03.2004;04.00.00;20;1701
23.03.2004;05.00.00;13;1908
23.03.2004;06.00.00;33;1542
23.03.2004;07.00.00;103;1178
23.03.2004;08.00.00;224;851
23.03.2004;09.00.00;244;684
23.03.2004;10.00.00;237;760
23.03.2004;11.00.00;220;792
23.03.2004;12.00.00;207;837
23.03.2004;13.00.00;208;770
23.03.2004;14.00.00;160;881
23.03.2004;15.00.00;131;924
23.03.2004;16.00.00;128;944
23.03.2004;17.00.00;176;818
23.03.2004;18.00.00;107;962
23.03.2004;19.00.00;131;854
23.03.2004;20.00.00;166;812
23.03.2004;21.00.00;89;1006
23.03.2004;22.00.00;81;1141
23.03.2004;23.00.00;78;1105
24.03.2004;00.00.00;70;1137
24.03.2004;01.00.00;76;1151
24.03.2004;02.00.00;43;1320
24.03.2004;03.00.00;-200;1493
24.03.2004;04.00.00;44;1477
24.03.2004;05.00.00;34;1572
24.03.2004;06.00.00;43;1496
24.03.2004;07.00.00;79;1186
24.03.2004;08.00.00;174;832
24.03.2004;09.00.00;235;652
24.03.2004;10.00.00;218;762
24.03.2004;11.00.00;136;950
24.03.2004;12.00.00;117;1012
24.03.2004;13.00.00;119;959
24.03.2004;14.00.00;126;879
24.03.2004;15.00.00;100;1015
24.03.2004;16.00.00;197;829
24.03.2004;17.00.00;195;774
24.03.2004;18.00.00;156;828
24.03.2004;19.00.00;247;681
24.03.2004;20.00.00;190;795
24.03.2004;21.00.00;169;928
24.03.2004;22.00.00;118;1064
24.03.2004;23.00.00;81;1186
25.03.2004;00.00.00;80;1168
25.03.2004;01.00.00;42;1400
25.03.2004;02.00.00;38;1450
25.03.2004;03.00.00;-200;1564
25.03.2004;04.00.00;18;1707
25.03.2004;05.00.00;12;1935
25.03.2004;06.00.00;43;1604
25.03.2004;07.00.00;84;1260
25.03.2004;08.00.00;184;902
25.03.2004;09.00.00;202;740
25.03.2004;10.00.00;133;969
25.03.2004;11.00.00;130;1039
25.03.2004;12.00.00;106;1081
25.03.2004;13.00.00;132;958
25.03.2004;14.00.00;106;976
25.03.2004;15.00.00;125;986
25.03.2004;16.00.00;138;939
25.03.2004;17.00.00;120;968
25.03.2004;18.00.00;158;836
25.03.2004;19.00.00;253;666
25.03.2004;20.00.00;231;692
25.03.2004;21.00.00;150;904
25.03.2004;22.00.00;99;1083
25.03.2004;23.00.00;75;1154
26.03.2004;00.00.00;93;1098
26.03.2004;01.00.00;79;1131
26.03.2004;02.00.00;67;1208
26.03.2004;03.00.00;-200;1449
26.03.2004;04.00.00;45;1398
26.03.2004;05.00.00;72;1210
26.03.2004;06.00.00;103;1130
26.03.2004;07.00.00;132;1015
26.03.2004;08.00.00;239;783
26.03.2004;09.00.00;275;682
26.03.2004;10.00.00;232;772
26.03.2004;11.00.00;180;826
26.03.2004;12.00.00;112;948
26.03.2004;13.00.00;116;915
26.03.2004;14.00.00;103;1015
26.03.2004;15.00.00;89;1152
26.03.2004;16.00.00;112;976
26.03.2004;17.00.00;127;886
26.03.2004;18.00.00;125;868
26.03.2004;19.00.00;120;876
26.03.2004;20.00.00;120;916
26.03.2004;21.00.00;99;1097
26.03.2004;22.00.00;79;1185
26.03.2004;23.00.00;66;1237
27.03.2004;00.00.00;94;1144
27.03.2004;01.00.00;70;1290
27.03.2004;02.00.00;75;1142
27.03.2004;03.00.00;-200;1191
27.03.2004;04.00.00;57;1209
27.03.2004;05.00.00;32;1417
27.03.2004;06.00.00;54;1373
27.03.2004;07.00.00;68;1270
27.03.2004;08.00.00;98;1050
27.03.2004;09.00.00;128;922
27.03.2004;10.00.00;129;942
27.03.2004;11.00.00;130;992
27.03.2004;12.00.00;111;994
27.03.2004;13.00.00;106;950
27.03.2004;14.00.00;137;888
27.03.2004;15.00.00;113;1051
27.03.2004;16.00.00;122;934
27.03.2004;17.00.00;137;916
27.03.2004;18.00.00;165;886
27.03.2004;19.00.00;196;827
27.03.2004;20.00.00;174;841
27.03.2004;21.00.00;140;948
27.03.2004;22.00.00;102;1023
27.03.2004;23.00.00;130;906
28.03.2004;00.00.00;121;930
28.03.2004;01.00.00;111;939
28.03.2004;02.00.00;87;1013
28.03.2004;03.00.00;-200;935
28.03.2004;04.00.00;77;1110
28.03.2004;05.00.00;39;1325
28.03.2004;06.00.00;77;1251
28.03.2004;07.00.00;91;1219
28.03.2004;08.00.00;105;1136
28.03.2004;09.00.00;133;959
28.03.2004;10.00.00;128;918
28.03.2004;11.00.00;126;933
28.03.2004;12.00.00;92;1020
28.03.2004;13.00.00;66;1159
28.03.2004;14.00.00;50;1285
28.03.2004;15.00.00;70;1189
28.03.2004;16.00.00;73;1213
28.03.2004;17.00.00;77;1217
28.03.2004;18.00.00;86;1174
28.03.2004;19.00.00;93;1068
28.03.2004;20.00.00;105;1102
28.03.2004;21.00.00;67;1261
28.03.2004;22.00.00;63;1266
28.03.2004;23.00.00;63;1300
29.03.2004;00.00.00;46;1396
29.03.2004;01.00.00;21;1588
29.03.2004;02.00.00;22;1643
29.03.2004;03.00.00;-200;1557
29.03.2004;04.00.00;39;1496
29.03.2004;05.00.00;55;1441
29.03.2004;06.00.00;76;1309
29.03.2004;07.00.00;181;844
29.03.2004;08.00.00;259;714
29.03.2004;09.00.00;118;1111
29.03.2004;10.00.00;119;1133
29.03.2004;11.00.00;123;1105
29.03.2004;12.00.00;92;1129
29.03.2004;13.00.00;91;1070
29.03.2004;14.00.00;103;1131
29.03.2004;15.00.00;102;1131
29.03.2004;16.00.00;94;1098
29.03.2004;17.00.00;98;996
29.03.2004;18.00.00;126;905
29.03.2004;19.00.00;108;957
29.03.2004;20.00.00;95;1066
29.03.2004;21.00.00;78;1221
29.03.2004;22.00.00;61;1278
29.03.2004;23.00.00;55;1339
30.03.2004;00.00.00;57;1418
30.03.2004;01.00.00;41;1468
30.03.2004;02.00.00;46;1402
30.03.2004;03.00.00;-200;1457
30.03.2004;04.00.00;41;1462
30.03.2004;05.00.00;52;1341
30.03.2004;06.00.00;111;1080
30.03.2004;07.00.00;191;839
30.03.2004;08.00.00;244;642
30.03.2004;09.00.00;283;674
30.03.2004;10.00.00;320;695
30.03.2004;11.00.00;249;734
30.03.2004;12.00.00;219;742
30.03.2004;13.00.00;200;791
30.03.2004;14.00.00;138;942
30.03.2004;15.00.00;118;991
30.03.2004;16.00.00;99;1060
30.03.2004;17.00.00;112;874
30.03.2004;18.00.00;117;853
30.03.2004;19.00.00;129;815
30.03.2004;20.00.00;132;884
30.03.2004;21.00.00;73;1072
30.03.2004;22.00.00;68;1147
30.03.2004;23.00.00;80;1094
31.03.2004;00.00.00;68;1180
31.03.2004;01.00.00;44;1287
31.03.2004;02.00.00;47;1222
31.03.2004;03.00.00;-200;1613
31.03.2004;04.00.00;15;1699
31.03.2004;05.00.00;44;1473
31.03.2004;06.00.00;85;1220
31.03.2004;07.00.00;207;721
31.03.2004;08.00.00;230;639
31.03.2004;09.00.00;181;872
31.03.2004;10.00.00;144;957
31.03.2004;11.00.00;140;902
31.03.2004;12.00.00;204;779
31.03.2004;13.00.00;149;846
31.03.2004;14.00.00;171;804
31.03.2004;15.00.00;195;755
31.03.2004;16.00.00;152;850
31.03.2004;17.00.00;128;810
31.03.2004;18.00.00;121;821
31.03.2004;19.00.00;142;819
31.03.2004;20.00.00;131;882
31.03.2004;21.00.00;81;1044
31.03.2004;22.00.00;60;1078
31.03.2004;23.00.00;57;1098
01.04.2004;00.00.00;96;986
01.04.2004;01.00.00;85;1031
01.04.2004;02.00.00;50;1085
01.04.2004;03.00.00;-200;1099
01.04.2004;04.00.00;57;1237
01.04.2004;05.00.00;64;1176
01.04.2004;06.00.00;153;1002
01.04.2004;07.00.00;342;675
01.04.2004;08.00.00;378;539
01.04.2004;09.00.00;304;631
01.04.2004;10.00.00;192;800
01.04.2004;11.00.00;130;970
01.04.2004;12.00.00;106;974
01.04.2004;13.00.00;102;937
01.04.2004;14.00.00;99;-200
01.04.2004;15.00.00;108;-200
01.04.2004;16.00.00;131;-200
01.04.2004;17.00.00;163;793
01.04.2004;18.00.00;211;700
01.04.2004;19.00.00;267;624
01.04.2004;20.00.00;269;666
01.04.2004;21.00.00;154;827
01.04.2004;22.00.00;127;844
01.04.2004;23.00.00;122;898
02.04.2004;00.00.00;126;921
02.04.2004;01.00.00;84;986
02.04.2004;02.00.00;58;1180
02.04.2004;03.00.00;-200;1137
02.04.2004;04.00.00;37;1195
02.04.2004;05.00.00;56;1197
02.04.2004;06.00.00;91;1055
02.04.2004;07.00.00;159;798
02.04.2004;08.00.00;190;634
02.04.2004;09.00.00;249;634
02.04.2004;10.00.00;196;706
02.04.2004;11.00.00;180;738
02.04.2004;12.00.00;167;748
02.04.2004;13.00.00;159;765
02.04.2004;14.00.00;152;790
02.04.2004;15.00.00;149;809
02.04.2004;16.00.00;143;872
02.04.2004;17.00.00;185;778
02.04.2004;18.00.00;223;685
02.04.2004;19.00.00;215;641
02.04.2004;20.00.00;271;618
02.04.2004;21.00.00;180;771
02.04.2004;22.00.00;115;841
02.04.2004;23.00.00;149;761
03.04.2004;00.00.00;98;828
03.04.2004;01.00.00;73;936
03.04.2004;02.00.00;69;986
03.04.2004;03.00.00;-200;1056
03.04.2004;04.00.00;60;1145
03.04.2004;05.00.00;56;1103
03.04.2004;06.00.00;73;1112
03.04.2004;07.00.00;159;846
03.04.2004;08.00.00;203;704
03.04.2004;09.00.00;211;720
03.04.2004;10.00.00;-200;785
03.04.2004;11.00.00;-200;781
03.04.2004;12.00.00;-200;781
03.04.2004;13.00.00;-200;866
03.04.2004;14.00.00;-200;915
03.04.2004;15.00.00;-200;882
03.04.2004;16.00.00;-200;834
03.04.2004;17.00.00;-200;812
03.04.2004;18.00.00;-200;764
03.04.2004;19.00.00;-200;625
03.04.2004;20.00.00;-200;736
03.04.2004;21.00.00;-200;873
03.04.2004;22.00.00;-200;762
03.04.2004;23.00.00;-200;847
04.04.2004;00.00.00;-200;884
04.04.2004;01.00.00;-200;929
04.04.2004;02.00.00;-200;980
04.04.2004;03.00.00;-200;965
04.04.2004;04.00.00;-200;1090
04.04.2004;05.00.00;-200;1171
04.04.2004;06.00.00;-200;1020
04.04.2004;07.00.00;-200;1110
04.04.2004;08.00.00;-200;1063
04.04.2004;09.00.00;-200;868
04.04.2004;10.00.00;-200;846
04.04.2004;11.00.00;-200;906
04.04.2004;12.00.00;-200;895
04.04.2004;13.00.00;-200;969
04.04.2004;14.00.00;-200;1057
04.04.2004;15.00.00;-200;863
04.04.2004;16.00.00;-200;841
04.04.2004;17.00.00;-200;845
04.04.2004;18.00.00;-200;838
04.04.2004;19.00.00;-200;755
04.04.2004;20.00.00;-200;830
04.04.2004;21.00.00;-200;989
04.04.2004;22.00.00;-200;909
04.04.2004;23.00.00;-200;930
05.04.2004;00.00.00;-200;1007
05.04.2004;01.00.00;-200;1239
05.04.2004;02.00.00;-200;1233
05.04.2004;03.00.00;-200;1456
05.04.2004;04.00.00;-200;1536
05.04.2004;05.00.00;-200;1175
05.04.2004;06.00.00;-200;945
05.04.2004;07.00.00;-200;767
05.04.2004;08.00.00;-200;570
05.04.2004;09.00.00;-200;647
05.04.2004;10.00.00;236;703
05.04.2004;11.00.00;228;713
05.04.2004;12.00.00;206;684
05.04.2004;13.00.00;188;682
05.04.2004;14.00.00;158;733
05.04.2004;15.00.00;124;803
05.04.2004;16.00.00;98;832
05.04.2004;17.00.00;160;678
05.04.2004;18.00.00;194;631
05.04.2004;19.00.00;174;651
05.04.2004;20.00.00;157;742
05.04.2004;21.00.00;109;852
05.04.2004;22.00.00;85;884
05.04.2004;23.00.00;90;890
06.04.2004;00.00.00;61;1065
06.04.2004;01.00.00;36;1188
06.04.2004;02.00.00;25;1357
06.04.2004;03.00.00;-200;1267
06.04.2004;04.00.00;24;1303
06.04.2004;05.00.00;73;1141
06.04.2004;06.00.00;164;880
06.04.2004;07.00.00;329;594
06.04.2004;08.00.00;302;494
06.04.2004;09.00.00;256;588
06.04.2004;10.00.00;182;707
06.04.2004;11.00.00;105;881
06.04.2004;12.00.00;136;715
06.04.2004;13.00.00;167;755
06.04.2004;14.00.00;166;811
06.04.2004;15.00.00;115;872
06.04.2004;16.00.00;109;849
06.04.2004;17.00.00;143;760
06.04.2004;18.00.00;159;728
06.04.2004;19.00.00;181;726
06.04.2004;20.00.00;178;724
06.04.2004;21.00.00;91;896
06.04.2004;22.00.00;76;996
06.04.2004;23.00.00;66;1053
07.04.2004;00.00.00;56;1127
07.04.2004;01.00.00;35;1308
07.04.2004;02.00.00;21;1475
07.04.2004;03.00.00;-200;1749
07.04.2004;04.00.00;12;1826
07.04.2004;05.00.00;22;1705
07.04.2004;06.00.00;55;1257
07.04.2004;07.00.00;152;777
07.04.2004;08.00.00;153;716
07.04.2004;09.00.00;152;865
07.04.2004;10.00.00;112;911
07.04.2004;11.00.00;119;991
07.04.2004;12.00.00;122;937
07.04.2004;13.00.00;115;883
07.04.2004;14.00.00;84;1030
07.04.2004;15.00.00;146;927
07.04.2004;16.00.00;65;1038
07.04.2004;17.00.00;120;847
07.04.2004;18.00.00;185;799
07.04.2004;19.00.00;157;774
07.04.2004;20.00.00;174;876
07.04.2004;21.00.00;62;1235
07.04.2004;22.00.00;81;1153
07.04.2004;23.00.00;118;957
08.04.2004;00.00.00;95;1074
08.04.2004;01.00.00;84;1016
08.04.2004;02.00.00;56;1087
08.04.2004;03.00.00;-200;1183
08.04.2004;04.00.00;43;1366
08.04.2004;05.00.00;69;1291
08.04.2004;06.00.00;74;1169
08.04.2004;07.00.00;161;820
08.04.2004;08.00.00;308;596
08.04.2004;09.00.00;300;676
08.04.2004;10.00.00;189;813
08.04.2004;11.00.00;164;818
08.04.2004;12.00.00;122;865
08.04.2004;13.00.00;166;816
08.04.2004;14.00.00;181;845
08.04.2004;15.00.00;127;856
08.04.2004;16.00.00;106;888
08.04.2004;17.00.00;192;723
08.04.2004;18.00.00;241;646
08.04.2004;19.00.00;326;579
08.04.2004;20.00.00;232;746
08.04.2004;21.00.00;92;968
08.04.2004;22.00.00;95;993
08.04.2004;23.00.00;129;-200
09.04.2004;00.00.00;154;-200
09.04.2004;01.00.00;118;-200
09.04.2004;02.00.00;69;-200
09.04.2004;03.00.00;-200;-200
09.04.2004;04.00.00;97;-200
09.04.2004;05.00.00;145;-200
09.04.2004;06.00.00;169;-200
09.04.2004;07.00.00;250;-200
09.04.2004;08.00.00;215;-200
09.04.2004;09.00.00;237;-200
09.04.2004;10.00.00;190;-200
09.04.2004;11.00.00;219;-200
09.04.2004;12.00.00;294;-200
09.04.2004;13.00.00;253;-200
09.04.2004;14.00.00;176;-200
09.04.2004;15.00.00;243;-200
09.04.2004;16.00.00;214;-200
09.04.2004;17.00.00;141;-200
09.04.2004;18.00.00;166;-200
09.04.2004;19.00.00;197;-200
09.04.2004;20.00.00;191;-200
09.04.2004;21.00.00;159;-200
09.04.2004;22.00.00;175;-200
09.04.2004;23.00.00;157;866
10.04.2004;00.00.00;83;1014
10.04.2004;01.00.00;118;929
10.04.2004;02.00.00;101;951
10.04.2004;03.00.00;-200;1142
10.04.2004;04.00.00;46;1163
10.04.2004;05.00.00;81;1121
10.04.2004;06.00.00;112;988
10.04.2004;07.00.00;150;895
10.04.2004;08.00.00;138;837
10.04.2004;09.00.00;124;869
10.04.2004;10.00.00;124;897
10.04.2004;11.00.00;115;971
10.04.2004;12.00.00;101;973
10.04.2004;13.00.00;90;1054
10.04.2004;14.00.00;90;1152
10.04.2004;15.00.00;89;1055
10.04.2004;16.00.00;92;1084
10.04.2004;17.00.00;103;1027
10.04.2004;18.00.00;122;949
10.04.2004;19.00.00;159;871
10.04.2004;20.00.00;172;861
10.04.2004;21.00.00;125;916
10.04.2004;22.00.00;187;812
10.04.2004;23.00.00;174;844
11.04.2004;00.00.00;75;1047
11.04.2004;01.00.00;48;1144
11.04.2004;02.00.00;61;1160
11.04.2004;03.00.00;-200;1162
11.04.2004;04.00.00;38;1224
11.04.2004;05.00.00;38;1244
11.04.2004;06.00.00;41;1259
11.04.2004;07.00.00;51;1240
11.04.2004;08.00.00;61;1196
11.04.2004;09.00.00;47;1177
11.04.2004;10.00.00;87;1040
11.04.2004;11.00.00;107;1014
11.04.2004;12.00.00;161;969
11.04.2004;13.00.00;61;1209
11.04.2004;14.00.00;26;1452
11.04.2004;15.00.00;42;1409
11.04.2004;16.00.00;55;1348
11.04.2004;17.00.00;65;1299
11.04.2004;18.00.00;75;1225
11.04.2004;19.00.00;93;1079
11.04.2004;20.00.00;63;1220
11.04.2004;21.00.00;60;1223
11.04.2004;22.00.00;63;1272
11.04.2004;23.00.00;66;1256
12.04.2004;00.00.00;41;1474
12.04.2004;01.00.00;42;1615
12.04.2004;02.00.00;36;1448
12.04.2004;03.00.00;-200;1452
12.04.2004;04.00.00;16;1822
12.04.2004;05.00.00;16;1923
12.04.2004;06.00.00;33;1756
12.04.2004;07.00.00;39;1613
12.04.2004;08.00.00;45;1453
12.04.2004;09.00.00;63;1268
12.04.2004;10.00.00;71;1210
12.04.2004;11.00.00;104;1105
12.04.2004;12.00.00;85;1201
12.04.2004;13.00.00;53;1415
12.04.2004;14.00.00;58;1415
12.04.2004;15.00.00;89;1189
12.04.2004;16.00.00;96;1222
12.04.2004;17.00.00;88;1197
12.04.2004;18.00.00;100;1149
12.04.2004;19.00.00;127;1065
