Date;Time;T;RH;AH
14.03.2004;01.00.00;14,6;51,5;0,8536
14.03.2004;02.00.00;12,5;58,9;0,8537
14.03.2004;03.00.00;11,6;63,4;0,8674
14.03.2004;04.00.00;12,1;61,1;0,8603
14.03.2004;05.00.00;11,5;63,1;0,8533
14.03.2004;06.00.00;11,6;62,2;0,8473
14.03.2004;07.00.00;10,4;67,6;0,853
14.03.2004;08.00.00;11,6;62,7;0,853
14.03.2004;09.00.00;12,4;60;0,8627
14.03.2004;10.00.00;14,5;53,1;0,8728
14.03.2004;11.00.00;16,9;46,1;0,8789
14.03.2004;12.00.00;19,3;38,3;0,8474
14.03.2004;13.00.00;21,2;31,4;0,7812
14.03.2004;14.00.00;21,4;30,2;0,7616
14.03.2004;15.00.00;21,9;29;0,7525
14.03.2004;16.00.00;22,2;28,4;0,7516
14.03.2004;17.00.00;21,3;30,8;0,7696
14.03.2004;18.00.00;19,7;36,7;0,8307
14.03.2004;19.00.00;18,4;41,7;0,8732
14.03.2004;20.00.00;17,6;46,1;0,921
14.03.2004;21.00.00;16,7;49,6;0,932
14.03.2004;22.00.00;16,3;51;0,9341
14.03.2004;23.00.00;14,7;55,9;0,9314
15.03.2004;00.00.00;14,8;54,7;0,9164
15.03.2004;01.00.00;14;57;0,9094
15.03.2004;02.00.00;13,4;61,3;0,9361
15.03.2004;03.00.00;12,6;63,5;0,923
15.03.2004;04.00.00;12,3;65,4;0,9351
15.03.2004;05.00.00;11,9;67,4;0,9375
15.03.2004;06.00.00;11,4;70,5;0,9475
15.03.2004;07.00.00;11,3;70,2;0,9401
15.03.2004;08.00.00;12,4;63,9;0,917
15.03.2004;09.00.00;14,8;54,3;0,9076
15.03.2004;10.00.00;17,4;45,6;0,8993
15.03.2004;11.00.00;19,8;38,5;0,8801
15.03.2004;12.00.00;22;34,1;0,8904
15.03.2004;13.00.00;23,3;32,2;0,9096
15.03.2004;14.00.00;23,9;30;0,8757
15.03.2004;15.00.00;24,4;28,9;0,8736
15.03.2004;16.00.00;24,4;29,4;0,8848
15.03.2004;17.00.00;23,8;31,3;0,9137
15.03.2004;18.00.00;22,5;35,4;0,9547
15.03.2004;19.00.00;20,4;42,5;1,0086
15.03.2004;20.00.00;18,3;52,6;1,0945
15.03.2004;21.00.00;16,7;57,4;1,0786
15.03.2004;22.00.00;15,7;60,2;1,0654
15.03.2004;23.00.00;15,3;61,4;1,058
16.03.2004;00.00.00;14,1;65,7;1,0494
16.03.2004;01.00.00;14,8;60,6;1,0148
16.03.2004;02.00.00;14,8;59,2;0,9879
16.03.2004;03.00.00;13,6;62,1;0,9636
16.03.2004;04.00.00;12,3;66,2;0,945
16.03.2004;05.00.00;12,8;63,2;0,9283
16.03.2004;06.00.00;11,2;68,5;0,9081
16.03.2004;07.00.00;11;66,5;0,8705
16.03.2004;08.00.00;11,7;63,7;0,8719
16.03.2004;09.00.00;13,6;56,3;0,8743
16.03.2004;10.00.00;17,8;42,9;0,8672
16.03.2004;11.00.00;21,4;33,3;0,8417
16.03.2004;12.00.00;24,4;27,4;0,8231
16.03.2004;13.00.00;25,3;26,1;0,8264
16.03.2004;14.00.00;25,8;23,2;0,7589
16.03.2004;15.00.00;27;20,2;0,7094
16.03.2004;16.00.00;28,2;18,6;0,7014
16.03.2004;17.00.00;28;19,1;0,7098
16.03.2004;18.00.00;23,9;25,7;0,7519
16.03.2004;19.00.00;21,3;34,8;0,873
16.03.2004;20.00.00;20,4;36,7;0,8704
16.03.2004;21.00.00;19;41,3;0,9007
16.03.2004;22.00.00;17,9;45,9;0,9342
16.03.2004;23.00.00;16,7;48,9;0,9226
17.03.2004;00.00.00;15,5;52,9;0,9271
17.03.2004;01.00.00;15,5;51,9;0,9059
17.03.2004;02.00.00;14,1;55,6;0,891
17.03.2004;03.00.00;13,1;57,9;0,8666
17.03.2004;04.00.00;12,7;57,9;0,8447
17.03.2004;05.00.00;11,8;58;0,8026
17.03.2004;06.00.00;11,9;57,4;0,7978
17.03.2004;07.00.00;9,9;65,2;0,7956
17.03.2004;08.00.00;11,1;60,2;0,7958
17.03.2004;09.00.00;14,1;50;0,802
17.03.2004;10.00.00;17,7;40,1;0,8048
17.03.2004;11.00.00;21,1;33,4;0,8265
17.03.2004;12.00.00;24,3;28,3;0,8471
17.03.2004;13.00.00;25,6;25,6;0,8254
17.03.2004;14.00.00;25,9;25,9;0,8503
17.03.2004;15.00.00;26,8;18,7;0,65
17.03.2004;16.00.00;29,3;15,8;0,6309
17.03.2004;17.00.00;28,5;14,9;0,5708
17.03.2004;18.00.00;25,9;16;0,5237
17.03.2004;19.00.00;23,1;26,5;0,7403
17.03.2004;20.00.00;20,5;38,2;0,9133
17.03.2004;21.00.00;19,1;42,6;0,9294
17.03.2004;22.00.00;17,2;44,1;0,8558
17.03.2004;23.00.00;16;50,9;0,9206
18.03.2004;00.00.00;14,8;53,9;0,9024
18.03.2004;01.00.00;14,3;55,4;0,8975
18.03.2004;02.00.00;14,8;52,1;0,8686
18.03.2004;03.00.00;13,9;53,9;0,8501
18.03.2004;04.00.00;11,6;61,9;0,8442
18.03.2004;05.00.00;12;58,9;0,8233
18.03.2004;06.00.00;10,9;62,1;0,8113
18.03.2004;07.00.00;10,6;63,3;0,8067
18.03.2004;08.00.00;11,5;60;0,8117
18.03.2004;09.00.00;14,3;50,6;0,8186
18.03.2004;10.00.00;17,8;40,5;0,821
18.03.2004;11.00.00;20,8;34,4;0,8365
18.03.2004;12.00.00;23,8;28,2;0,8219
18.03.2004;13.00.00;24,2;28,7;0,8515
18.03.2004;14.00.00;25,2;24,9;0,7829
18.03.2004;15.00.00;27;17,8;0,6275
18.03.2004;16.00.00;27,1;23,1;0,818
18.03.2004;17.00.00;25,8;23,9;0,7832
18.03.2004;18.00.00;23;26,8;0,7446
18.03.2004;19.00.00;20,7;31,1;0,7523
18.03.2004;20.00.00;18,6;36,2;0,7676
18.03.2004;21.00.00;16;48,4;0,8768
18.03.2004;22.00.00;14,5;57,8;0,9456
18.03.2004;23.00.00;13,1;64,2;0,9606
19.03.2004;00.00.00;12;69,7;0,9735
19.03.2004;01.00.00;11,9;71,1;0,9915
19.03.2004;02.00.00;12,5;69,3;1,0029
19.03.2004;03.00.00;12,5;67,5;0,9768
19.03.2004;04.00.00;12,3;67,7;0,9665
19.03.2004;05.00.00;12,5;66,8;0,962
19.03.2004;06.00.00;12,3;66,3;0,9487
19.03.2004;07.00.00;12,4;64,9;0,9332
19.03.2004;08.00.00;13;61,6;0,9209
19.03.2004;09.00.00;13,6;58,8;0,912
19.03.2004;10.00.00;13,9;57,1;0,9032
19.03.2004;11.00.00;14,5;54,4;0,8917
19.03.2004;12.00.00;15,5;50,1;0,8744
19.03.2004;13.00.00;16,1;47,6;0,8655
19.03.2004;14.00.00;16,3;47,1;0,864
19.03.2004;15.00.00;16,4;47,5;0,8791
19.03.2004;16.00.00;16,1;50,2;0,9094
19.03.2004;17.00.00;16;50,7;0,9142
19.03.2004;18.00.00;15,8;50,3;0,8989
19.03.2004;19.00.00;15,5;50,6;0,884
19.03.2004;20.00.00;15,4;51,4;0,8956
19.03.2004;21.00.00;15,2;53,1;0,9117
19.03.2004;22.00.00;14,7;57,6;0,9573
19.03.2004;23.00.00;14,2;58,3;0,938
20.03.2004;00.00.00;13,8;57,9;0,9085
20.03.2004;01.00.00;13,9;55,9;0,8842
20.03.2004;02.00.00;13,9;55,6;0,8765
20.03.2004;03.00.00;13,8;55,1;0,8666
20.03.2004;04.00.00;13,8;54,6;0,8574
20.03.2004;05.00.00;13,6;55,1;0,856
20.03.2004;06.00.00;13,6;59;0,9129
20.03.2004;07.00.00;13,5;58,4;0,896
20.03.2004;08.00.00;13,8;58;0,9083
20.03.2004;09.00.00;14,6;53,1;0,8765
20.03.2004;10.00.00;15;52,3;0,8881
20.03.2004;11.00.00;15,4;52,1;0,9046
20.03.2004;12.00.00;16,3;50;0,9158
20.03.2004;13.00.00;17,1;47,9;0,9281
20.03.2004;14.00.00;19;42,9;0,937
20.03.2004;15.00.00;19,5;42,3;0,9476
20.03.2004;16.00.00;19,5;42,3;0,9493
20.03.2004;17.00.00;19,1;43,8;0,9556
20.03.2004;18.00.00;18,5;46,3;0,9744
20.03.2004;19.00.00;17,4;51,6;1,0159
20.03.2004;20.00.00;17,1;51,3;0,9914
20.03.2004;21.00.00;16,4;53,8;0,9964
20.03.2004;22.00.00;16,2;55,4;1,0132
20.03.2004;23.00.00;15,9;57,7;1,0356
21.03.2004;00.00.00;15,7;58,6;1,0396
21.03.2004;01.00.00;15,1;60,9;1,0398
21.03.2004;02.00.00;15,6;56,6;0,9951
21.03.2004;03.00.00;15,2;57,9;0,9941
21.03.2004;04.00.00;15,4;57,8;1,0021
21.03.2004;05.00.00;14,9;60,6;1,0196
21.03.2004;06.00.00;14,5;63;1,0316
21.03.2004;07.00.00;14,2;66,2;1,063
21.03.2004;08.00.00;14,5;65,3;1,0704
21.03.2004;09.00.00;15,3;62,1;1,073
21.03.2004;10.00.00;16,3;59;1,0868
21.03.2004;11.00.00;18,9;49,6;1,07
21.03.2004;12.00.00;19,4;46,1;1,0249
21.03.2004;13.00.00;20,8;41,6;1,0091
21.03.2004;14.00.00;21,4;40,3;1,0126
21.03.2004;15.00.00;21,2;39,3;0,9791
21.03.2004;16.00.00;20,3;38;0,8942
21.03.2004;17.00.00;19,4;41,3;0,9206
21.03.2004;18.00.00;18,5;43,8;0,9252
21.03.2004;19.00.00;17,8;48,1;0,9689
21.03.2004;20.00.00;17,9;46,9;0,952
21.03.2004;21.00.00;17,4;49,1;0,9688
21.03.2004;22.00.00;17;51,7;0,9914
21.03.2004;23.00.00;16,4;55,1;1,0198
22.03.2004;00.00.00;16,1;60;1,0919
22.03.2004;01.00.00;15,8;60,5;1,0805
22.03.2004;02.00.00;16,3;57;1,0491
22.03.2004;03.00.00;16,9;53,9;1,0309
22.03.2004;04.00.00;16,1;55,9;1,0153
22.03.2004;05.00.00;16,5;53,9;1,0049
22.03.2004;06.00.00;16,4;54;0,9979
22.03.2004;07.00.00;15,7;57,6;1,0195
22.03.2004;08.00.00;15,8;53,7;0,9571
22.03.2004;09.00.00;17,4;42,1;0,8281
22.03.2004;10.00.00;17,9;38,4;0,7793
22.03.2004;11.00.00;18,5;36,7;0,7764
22.03.2004;12.00.00;21;29,6;0,7263
22.03.2004;13.00.00;21,3;28,1;0,7067
22.03.2004;14.00.00;21,3;26,1;0,6539
22.03.2004;15.00.00;21,3;26,8;0,6681
22.03.2004;16.00.00;21,3;24,2;0,606
22.03.2004;17.00.00;20,2;28,5;0,6682
22.03.2004;18.00.00;17;43,1;0,8264
22.03.2004;19.00.00;15,6;47,4;0,8347
22.03.2004;20.00.00;15,3;47,4;0,8178
22.03.2004;21.00.00;14,5;49,7;0,8177
22.03.2004;22.00.00;13,9;52;0,8231
22.03.2004;23.00.00;14,5;49,4;0,8106
23.03.2004;00.00.00;13,8;51,4;0,8071
23.03.2004;01.00.00;14;51,3;0,8163
23.03.2004;02.00.00;13;56,8;0,8444
23.03.2004;03.00.00;11;70;0,9215
23.03.2004;04.00.00;10,1;76,8;0,9483
23.03.2004;05.00.00;8,8;80,5;0,9147
23.03.2004;06.00.00;9,6;75,4;0,9004
23.03.2004;07.00.00;9,8;75;0,9093
23.03.2004;08.00.00;10;74,2;0,9117
23.03.2004;09.00.00;11,2;69,7;0,9232
23.03.2004;10.00.00;12;62,9;0,8803
23.03.2004;11.00.00;12,8;55,8;0,821
23.03.2004;12.00.00;13,1;54,8;0,8234
23.03.2004;13.00.00;13,8;53,4;0,8351
23.03.2004;14.00.00;16;42,4;0,7674
23.03.2004;15.00.00;14,1;49,8;0,7971
23.03.2004;16.00.00;12;61,1;0,8537
23.03.2004;17.00.00;13,6;54,6;0,8465
23.03.2004;18.00.00;13,7;49,5;0,7695
23.03.2004;19.00.00;11,7;57,1;0,7822
23.03.2004;20.00.00;11,5;58,2;0,7867
23.03.2004;21.00.00;12,6;54,2;0,7881
23.03.2004;22.00.00;12;54,9;0,7664
23.03.2004;23.00.00;11;61,4;0,8057
24.03.2004;00.00.00;11,1;62,2;0,8199
24.03.2004;01.00.00;10,8;62,5;0,8082
24.03.2004;02.00.00;11,3;60;0,8025
24.03.2004;03.00.00;10,6;61,6;0,7856
24.03.2004;04.00.00;10,2;62,7;0,7813
24.03.2004;05.00.00;10,9;58,6;0,7628
24.03.2004;06.00.00;10,8;57,2;0,7382
24.03.2004;07.00.00;10,4;59,2;0,7455
24.03.2004;08.00.00;11;57,3;0,7501
24.03.2004;09.00.00;11,2;56,9;0,7565
24.03.2004;10.00.00;12,1;54,9;0,7734
24.03.2004;11.00.00;15,1;44,3;0,7535
24.03.2004;12.00.00;15,6;40,6;0,7146
24.03.2004;13.00.00;16,9;34,6;0,6597
24.03.2004;14.00.00;16,6;35,6;0,6697
24.03.2004;15.00.00;11,3;63,9;0,8554
24.03.2004;16.00.00;9,6;81,1;0,972
24.03.2004;17.00.00;11,7;69,1;0,9497
24.03.2004;18.00.00;10,7;68,5;0,8794
24.03.2004;19.00.00;10,7;67,3;0,8643
24.03.2004;20.00.00;10,8;65,7;0,8486
24.03.2004;21.00.00;10,3;66,3;0,8336
24.03.2004;22.00.00;10,1;66,9;0,8248
24.03.2004;23.00.00;10,4;61,1;0,7717
25.03.2004;00.00.00;10,3;59,9;0,7516
25.03.2004;01.00.00;11;58,4;0,7686
25.03.2004;02.00.00;9,1;68,1;0,789
25.03.2004;03.00.00;9,5;68,2;0,8091
25.03.2004;04.00.00;9,3;72,3;0,8496
25.03.2004;05.00.00;9,9;66,8;0,8152
25.03.2004;06.00.00;7,6;83,2;0,8695
25.03.2004;07.00.00;8,1;79;0,8544
25.03.2004;08.00.00;8,7;74,6;0,8429
25.03.2004;09.00.00;8,6;75,1;0,8415
25.03.2004;10.00.00;9,7;69,7;0,8389
25.03.2004;11.00.00;11;64,4;0,8447
25.03.2004;12.00.00;13,6;53;0,8209
25.03.2004;13.00.00;14,2;48,4;0,778
25.03.2004;14.00.00;14,2;46,3;0,7438
25.03.2004;15.00.00;16;41,3;0,7462
25.03.2004;16.00.00;17,7;35,4;0,7094
25.03.2004;17.00.00;17,1;37,4;0,7225
25.03.2004;18.00.00;14,9;40,5;0,6835
25.03.2004;19.00.00;13,4;47,8;0,7293
25.03.2004;20.00.00;12,6;52,5;0,7642
25.03.2004;21.00.00;12,2;53,2;0,7555
25.03.2004;22.00.00;10,6;56,1;0,714
25.03.2004;23.00.00;9,9;59,5;0,7276
26.03.2004;00.00.00;9,6;61,1;0,7323
26.03.2004;01.00.00;9,7;61,6;0,7425
26.03.2004;02.00.00;9,4;62,6;0,7398
26.03.2004;03.00.00;8,2;68,5;0,7455
26.03.2004;04.00.00;8;69,4;0,7459
26.03.2004;05.00.00;7,7;72,4;0,7655
26.03.2004;06.00.00;8;71,8;0,7711
26.03.2004;07.00.00;8,5;66,3;0,7375
26.03.2004;08.00.00;9,8;59,6;0,7214
26.03.2004;09.00.00;11,2;57;0,7544
26.03.2004;10.00.00;14,8;44,1;0,7407
26.03.2004;11.00.00;16,8;35,3;0,6729
26.03.2004;12.00.00;19,2;27,1;0,5976
26.03.2004;13.00.00;19,1;26,2;0,5741
26.03.2004;14.00.00;16,3;30,8;0,5683
26.03.2004;15.00.00;14,2;36,8;0,5922
26.03.2004;16.00.00;13,4;41;0,6292
26.03.2004;17.00.00;14,2;43,3;0,6982
26.03.2004;18.00.00;12,1;45,6;0,6403
26.03.2004;19.00.00;10,4;48;0,6046
26.03.2004;20.00.00;10;51,1;0,628
26.03.2004;21.00.00;9,8;50,8;0,6172
26.03.2004;22.00.00;9,7;50,4;0,6063
26.03.2004;23.00.00;9,9;50,2;0,6103
27.03.2004;00.00.00;9,4;53,4;0,63
27.03.2004;01.00.00;8,6;57,8;0,6488
27.03.2004;02.00.00;8,1;62,1;0,6746
27.03.2004;03.00.00;7,9;63,5;0,6777
27.03.2004;04.00.00;7,4;64,8;0,6683
27.03.2004;05.00.00;8,2;58,9;0,6444
27.03.2004;06.00.00;6,3;66,6;0,641
27.03.2004;07.00.00;7,2;62,9;0,6396
27.03.2004;08.00.00;7,2;63,9;0,65
27.03.2004;09.00.00;11,1;50,5;0,6654
27.03.2004;10.00.00;15,5;36,1;0,6313
27.03.2004;11.00.00;17,8;29,2;0,592
27.03.2004;12.00.00;17,6;30,1;0,6013
27.03.2004;13.00.00;19,1;26,8;0,5861
27.03.2004;14.00.00;17,7;28,6;0,5735
27.03.2004;15.00.00;17,8;28,4;0,5737
27.03.2004;16.00.00;18,7;26;0,5555
27.03.2004;17.00.00;17,1;31,3;0,6038
27.03.2004;18.00.00;15,8;36,1;0,644
27.03.2004;19.00.00;14,7;40,1;0,6657
27.03.2004;20.00.00;13,6;44,9;0,6991
27.03.2004;21.00.00;12,5;48,1;0,6946
27.03.2004;22.00.00;11,8;50,8;0,7042
27.03.2004;23.00.00;10,9;56,1;0,7326
28.03.2004;00.00.00;10,9;55,9;0,7277
28.03.2004;01.00.00;10,3;58,1;0,7278
28.03.2004;02.00.00;9,3;62,2;0,7294
28.03.2004;03.00.00;8,2;66,7;0,7276
28.03.2004;04.00.00;8,3;64,9;0,7124
28.03.2004;05.00.00;9,6;58,5;0,7
28.03.2004;06.00.00;7,7;66,4;0,699
28.03.2004;07.00.00;7,4;68;0,7043
28.03.2004;08.00.00;9,7;58,6;0,7035
28.03.2004;09.00.00;12,5;50,1;0,7242
28.03.2004;10.00.00;16,8;36,9;0,7018
28.03.2004;11.00.00;19,2;31,3;0,6887
28.03.2004;12.00.00;21,3;26,4;0,6607
28.03.2004;13.00.00;21,2;23,1;0,5768
28.03.2004;14.00.00;18,6;25;0,5319
28.03.2004;15.00.00;18;27,3;0,5594
28.03.2004;16.00.00;18,2;28,3;0,5848
28.03.2004;17.00.00;17;31,4;0,6048
28.03.2004;18.00.00;15,6;35;0,617
28.03.2004;19.00.00;14,1;40,2;0,6438
28.03.2004;20.00.00;13,4;43,2;0,6623
28.03.2004;21.00.00;12,3;46,8;0,6686
28.03.2004;22.00.00;11,9;46,5;0,6449
28.03.2004;23.00.00;11,5;46,6;0,6319
29.03.2004;00.00.00;10,6;48;0,6135
29.03.2004;01.00.00;10,7;45,8;0,5895
29.03.2004;02.00.00;10,4;46,6;0,5901
29.03.2004;03.00.00;10,1;47,8;0,5913
29.03.2004;04.00.00;11,3;46,9;0,628
29.03.2004;05.00.00;10,1;51,2;0,6341
29.03.2004;06.00.00;9,9;50,7;0,6167
29.03.2004;07.00.00;8,1;56,8;0,615
29.03.2004;08.00.00;10,9;44,1;0,5748
29.03.2004;09.00.00;11,8;37,6;0,5184
29.03.2004;10.00.00;13,9;33,2;0,5222
29.03.2004;11.00.00;15,6;30,1;0,5285
29.03.2004;12.00.00;16,5;29;0,5406
29.03.2004;13.00.00;17,5;27,9;0,5517
29.03.2004;14.00.00;17,9;26,8;0,5446
29.03.2004;15.00.00;18,2;26,1;0,5387
29.03.2004;16.00.00;18;27,1;0,5522
29.03.2004;17.00.00;17;28,9;0,5558
29.03.2004;18.00.00;16,1;31,3;0,568
29.03.2004;19.00.00;14,5;35,4;0,5839
29.03.2004;20.00.00;13,2;37,9;0,5733
29.03.2004;21.00.00;13,1;34,4;0,517
29.03.2004;22.00.00;13,5;28,5;0,4405
29.03.2004;23.00.00;12,4;31,9;0,4583
30.03.2004;00.00.00;13,1;26,8;0,4023
30.03.2004;01.00.00;11,6;33,6;0,4595
30.03.2004;02.00.00;10,5;42,9;0,5442
30.03.2004;03.00.00;11,7;38,7;0,5298
30.03.2004;04.00.00;12,2;37,2;0,5277
30.03.2004;05.00.00;12,9;33,9;0,5037
30.03.2004;06.00.00;11,3;40,3;0,5376
30.03.2004;07.00.00;11,9;38,4;0,5341
30.03.2004;08.00.00;13,3;35,6;0,5416
30.03.2004;09.00.00;16,3;28,8;0,5305
30.03.2004;10.00.00;17,9;28,2;0,5741
30.03.2004;11.00.00;18,3;26,6;0,5529
30.03.2004;12.00.00;20,8;22,5;0,5463
30.03.2004;13.00.00;22,4;20;0,5352
30.03.2004;14.00.00;20,9;21,7;0,5295
30.03.2004;15.00.00;19,1;26,5;0,579
30.03.2004;16.00.00;18,1;30,6;0,6295
30.03.2004;17.00.00;17,3;34,7;0,6788
30.03.2004;18.00.00;15,8;40,4;0,7228
30.03.2004;19.00.00;15,9;42;0,7541
30.03.2004;20.00.00;15,9;43,5;0,779
30.03.2004;21.00.00;15;46,1;0,7833
30.03.2004;22.00.00;15,1;44,6;0,7574
30.03.2004;23.00.00;14,9;43,5;0,7302
31.03.2004;00.00.00;14,8;41;0,685
31.03.2004;01.00.00;14,8;40,8;0,6814
31.03.2004;02.00.00;14,8;40,8;0,6834
31.03.2004;03.00.00;14,2;36,1;0,5823
31.03.2004;04.00.00;14,5;36,1;0,5928
31.03.2004;05.00.00;14,6;36;0,5947
31.03.2004;06.00.00;14,4;38,5;0,6291
31.03.2004;07.00.00;13,8;58,2;0,9129
31.03.2004;08.00.00;13,2;61,1;0,9256
31.03.2004;09.00.00;10,4;74,4;0,9384
31.03.2004;10.00.00;11,5;71;0,9582
31.03.2004;11.00.00;12,2;70;0,9924
31.03.2004;12.00.00;12,3;73,3;1,0442
31.03.2004;13.00.00;11,3;78,1;1,0411
31.03.2004;14.00.00;13,6;69,2;1,0746
31.03.2004;15.00.00;14,9;59,3;0,9974
31.03.2004;16.00.00;15,7;50,9;0,8997
31.03.2004;17.00.00;15,2;52,9;0,9087
31.03.2004;18.00.00;15,5;50,8;0,8881
31.03.2004;19.00.00;14,3;52,9;0,8581
31.03.2004;20.00.00;13,2;56;0,8446
31.03.2004;21.00.00;12,6;57;0,8315
31.03.2004;22.00.00;12,3;57,8;0,8224
31.03.2004;23.00.00;12;58,4;0,8164
01.04.2004;00.00.00;12;61,6;0,8593
01.04.2004;01.00.00;11,5;63,9;0,8652
01.04.2004;02.00.00;10,7;67,2;0,863
01.04.2004;03.00.00;9;73,1;0,8394
01.04.2004;04.00.00;10,2;66,6;0,8299
01.04.2004;05.00.00;11;63,7;0,8325
01.04.2004;06.00.00;9,6;68,8;0,8243
01.04.2004;07.00.00;9,5;69,6;0,8273
01.04.2004;08.00.00;11,9;60,9;0,8455
01.04.2004;09.00.00;16,2;48,6;0,8892
01.04.2004;10.00.00;19,2;39,6;0,8693
01.04.2004;11.00.00;19,7;38,4;0,8743
01.04.2004;12.00.00;20,6;36,7;0,8797
01.04.2004;13.00.00;21,8;33,9;0,8771
01.04.2004;14.00.00;-200;-200;-200
01.04.2004;15.00.00;-200;-200;-200
01.04.2004;16.00.00;-200;-200;-200
01.04.2004;17.00.00;23,6;27,5;0,7913
01.04.2004;18.00.00;22,8;32,1;0,8814
01.04.2004;19.00.00;20,8;36,7;0,8878
01.04.2004;20.00.00;18,3;40,9;0,8493
01.04.2004;21.00.00;16,8;44;0,8341
01.04.2004;22.00.00;15,8;48;0,8569
01.04.2004;23.00.00;14,9;52;0,8757
02.04.2004;00.00.00;14,1;54,4;0,8701
02.04.2004;01.00.00;13,3;58,8;0,8922
02.04.2004;02.00.00;13,3;60,9;0,9229
02.04.2004;03.00.00;11,8;64,3;0,8869
02.04.2004;04.00.00;11,2;65,9;0,8775
02.04.2004;05.00.00;11,3;72,9;0,9738
02.04.2004;06.00.00;11,4;71,8;0,9671
02.04.2004;07.00.00;11,9;73,7;1,0254
02.04.2004;08.00.00;12,6;70,2;1,0221
02.04.2004;09.00.00;13,6;65,3;1,0136
02.04.2004;10.00.00;16,9;52,3;1,0013
02.04.2004;11.00.00;19,4;44,1;0,9855
02.04.2004;12.00.00;22,9;33,8;0,9322
