Date;Time;NMHC(GT)
27.03.2004;21.00.00;231
27.03.2004;22.00.00;125
27.03.2004;23.00.00;122
28.03.2004;00.00.00;161
28.03.2004;01.00.00;101
28.03.2004;02.00.00;95
28.03.2004;03.00.00;129
28.03.2004;04.00.00;96
28.03.2004;05.00.00;54
28.03.2004;06.00.00;63
28.03.2004;07.00.00;72
28.03.2004;08.00.00;91
28.03.2004;09.00.00;127
28.03.2004;10.00.00;193
28.03.2004;11.00.00;188
28.03.2004;12.00.00;151
28.03.2004;13.00.00;103
28.03.2004;14.00.00;55
28.03.2004;15.00.00;104
28.03.2004;16.00.00;116
28.03.2004;17.00.00;93
28.03.2004;18.00.00;93
28.03.2004;19.00.00;155
28.03.2004;20.00.00;115
28.03.2004;21.00.00;75
28.03.2004;22.00.00;65
28.03.2004;23.00.00;57
29.03.2004;00.00.00;40
29.03.2004;01.00.00;27
29.03.2004;02.00.00;23
29.03.2004;03.00.00;28
29.03.2004;04.00.00;21
29.03.2004;05.00.00;33
29.03.2004;06.00.00;40
29.03.2004;07.00.00;279
29.03.2004;08.00.00;743
29.03.2004;09.00.00;147
29.03.2004;10.00.00;97
29.03.2004;11.00.00;118
29.03.2004;12.00.00;91
29.03.2004;13.00.00;146
29.03.2004;14.00.00;139
29.03.2004;15.00.00;155
29.03.2004;16.00.00;128
29.03.2004;17.00.00;166
29.03.2004;18.00.00;299
29.03.2004;19.00.00;163
29.03.2004;20.00.00;154
29.03.2004;21.00.00;80
29.03.2004;22.00.00;58
29.03.2004;23.00.00;55
30.03.2004;00.00.00;33
30.03.2004;01.00.00;33
30.03.2004;02.00.00;32
30.03.2004;03.00.00;25
30.03.2004;04.00.00;29
30.03.2004;05.00.00;26
30.03.2004;06.00.00;86
30.03.2004;07.00.00;294
30.03.2004;08.00.00;664
30.03.2004;09.00.00;695
30.03.2004;10.00.00;735
30.03.2004;11.00.00;649
30.03.2004;12.00.00;586
30.03.2004;13.00.00;546
30.03.2004;14.00.00;245
30.03.2004;15.00.00;178
30.03.2004;16.00.00;130
30.03.2004;17.00.00;151
30.03.2004;18.00.00;272
30.03.2004;19.00.00;301
30.03.2004;20.00.00;237
30.03.2004;21.00.00;95
30.03.2004;22.00.00;68
30.03.2004;23.00.00;101
31.03.2004;00.00.00;81
31.03.2004;01.00.00;50
31.03.2004;02.00.00;66
31.03.2004;03.00.00;22
31.03.2004;04.00.00;18
31.03.2004;05.00.00;31
31.03.2004;06.00.00;57
31.03.2004;07.00.00;342
31.03.2004;08.00.00;644
31.03.2004;09.00.00;216
31.03.2004;10.00.00;117
31.03.2004;11.00.00;156
31.03.2004;12.00.00;332
31.03.2004;13.00.00;232
31.03.2004;14.00.00;295
31.03.2004;15.00.00;386
31.03.2004;16.00.00;278
31.03.2004;17.00.00;263
31.03.2004;18.00.00;322
31.03.2004;19.00.00;226
31.03.2004;20.00.00;221
31.03.2004;21.00.00;109
31.03.2004;22.00.00;105
31.03.2004;23.00.00;84
01.04.2004;00.00.00;106
01.04.2004;01.00.00;100
01.04.2004;02.00.00;71
01.04.2004;03.00.00;72
01.04.2004;04.00.00;44
01.04.2004;05.00.00;45
01.04.2004;06.00.00;134
01.04.2004;07.00.00;505
01.04.2004;08.00.00;1042
01.04.2004;09.00.00;737
01.04.2004;10.00.00;375
01.04.2004;11.00.00;124
01.04.2004;12.00.00;137
01.04.2004;13.00.00;179
01.04.2004;14.00.00;222
01.04.2004;15.00.00;197
01.04.2004;16.00.00;319
01.04.2004;17.00.00;388
01.04.2004;18.00.00;589
01.04.2004;19.00.00;840
01.04.2004;20.00.00;655
01.04.2004;21.00.00;254
01.04.2004;22.00.00;188
01.04.2004;23.00.00;120
02.04.2004;00.00.00;157
02.04.2004;01.00.00;88
02.04.2004;02.00.00;68
02.04.2004;03.00.00;57
02.04.2004;04.00.00;36
02.04.2004;05.00.00;51
02.04.2004;06.00.00;93
02.04.2004;07.00.00;284
02.04.2004;08.00.00;486
02.04.2004;09.00.00;798
02.04.2004;10.00.00;524
02.04.2004;11.00.00;468
02.04.2004;12.00.00;454
02.04.2004;13.00.00;461
02.04.2004;14.00.00;391
02.04.2004;15.00.00;337
02.04.2004;16.00.00;297
02.04.2004;17.00.00;588
02.04.2004;18.00.00;721
02.04.2004;19.00.00;710
02.04.2004;20.00.00;787
02.04.2004;21.00.00;415
02.04.2004;22.00.00;245
02.04.2004;23.00.00;294
03.04.2004;00.00.00;139
03.04.2004;01.00.00;98
03.04.2004;02.00.00;88
03.04.2004;03.00.00;66
03.04.2004;04.00.00;57
03.04.2004;05.00.00;57
03.04.2004;06.00.00;60
03.04.2004;07.00.00;200
03.04.2004;08.00.00;451
03.04.2004;09.00.00;422
03.04.2004;10.00.00;-200
03.04.2004;11.00.00;-200
03.04.2004;12.00.00;-200
03.04.2004;13.00.00;-200
03.04.2004;14.00.00;-200
03.04.2004;15.00.00;-200
03.04.2004;16.00.00;-200
03.04.2004;17.00.00;-200
03.04.2004;18.00.00;-200
03.04.2004;19.00.00;-200
03.04.2004;20.00.00;-200
03.04.2004;21.00.00;-200
03.04.2004;22.00.00;-200
03.04.2004;23.00.00;-200
04.04.2004;00.00.00;-200
04.04.2004;01.00.00;-200
04.04.2004;02.00.00;-200
04.04.2004;03.00.00;-200
04.04.2004;04.00.00;-200
04.04.2004;05.00.00;-200
04.04.2004;06.00.00;-200
04.04.2004;07.00.00;-200
04.04.2004;08.00.00;-200
04.04.2004;09.00.00;-200
04.04.2004;10.00.00;-200
04.04.2004;11.00.00;-200
04.04.2004;12.00.00;-200
04.04.2004;13.00.00;-200
04.04.2004;14.00.00;-200
04.04.2004;15.00.00;-200
04.04.2004;16.00.00;-200
04.04.2004;17.00.00;-200
04.04.2004;18.00.00;-200
04.04.2004;19.00.00;-200
04.04.2004;20.00.00;-200
04.04.2004;21.00.00;-200
04.04.2004;22.00.00;-200
04.04.2004;23.00.00;-200
05.04.2004;00.00.00;-200
05.04.2004;01.00.00;-200
05.04.2004;02.00.00;-200
05.04.2004;03.00.00;-200
05.04.2004;04.00.00;-200
05.04.2004;05.00.00;-200
05.04.2004;06.00.00;-200
05.04.2004;07.00.00;-200
05.04.2004;08.00.00;-200
05.04.2004;09.00.00;-200
05.04.2004;10.00.00;424
05.04.2004;11.00.00;339
05.04.2004;12.00.00;445
05.04.2004;13.00.00;535
05.04.2004;14.00.00;278
05.04.2004;15.00.00;256
05.04.2004;16.00.00;245
05.04.2004;17.00.00;458
05.04.2004;18.00.00;710
05.04.2004;19.00.00;678
05.04.2004;20.00.00;436
05.04.2004;21.00.00;178
05.04.2004;22.00.00;160
05.04.2004;23.00.00;177
06.04.2004;00.00.00;101
06.04.2004;01.00.00;66
06.04.2004;02.00.00;40
06.04.2004;03.00.00;54
06.04.2004;04.00.00;39
06.04.2004;05.00.00;62
06.04.2004;06.00.00;120
06.04.2004;07.00.00;599
06.04.2004;08.00.00;1084
06.04.2004;09.00.00;776
06.04.2004;10.00.00;470
06.04.2004;11.00.00;169
06.04.2004;12.00.00;304
06.04.2004;13.00.00;405
06.04.2004;14.00.00;297
06.04.2004;15.00.00;220
06.04.2004;16.00.00;226
06.04.2004;17.00.00;456
06.04.2004;18.00.00;470
06.04.2004;19.00.00;503
06.04.2004;20.00.00;459
06.04.2004;21.00.00;227
06.04.2004;22.00.00;152
06.04.2004;23.00.00;94
07.04.2004;00.00.00;93
07.04.2004;01.00.00;49
07.04.2004;02.00.00;30
07.04.2004;03.00.00;30
07.04.2004;04.00.00;30
07.04.2004;05.00.00;32
07.04.2004;06.00.00;59
07.04.2004;07.00.00;277
07.04.2004;08.00.00;454
07.04.2004;09.00.00;211
07.04.2004;10.00.00;196
07.04.2004;11.00.00;110
07.04.2004;12.00.00;164
07.04.2004;13.00.00;151
07.04.2004;14.00.00;112
07.04.2004;15.00.00;117
07.04.2004;16.00.00;120
07.04.2004;17.00.00;251
07.04.2004;18.00.00;435
07.04.2004;19.00.00;345
07.04.2004;20.00.00;343
07.04.2004;21.00.00;62
07.04.2004;22.00.00;70
07.04.2004;23.00.00;114
08.04.2004;00.00.00;88
08.04.2004;01.00.00;95
08.04.2004;02.00.00;83
08.04.2004;03.00.00;63
08.04.2004;04.00.00;38
08.04.2004;05.00.00;68
08.04.2004;06.00.00;59
08.04.2004;07.00.00;226
08.04.2004;08.00.00;802
08.04.2004;09.00.00;585
08.04.2004;10.00.00;324
08.04.2004;11.00.00;308
08.04.2004;12.00.00;238
08.04.2004;13.00.00;301
08.04.2004;14.00.00;294
08.04.2004;15.00.00;353
08.04.2004;16.00.00;209
08.04.2004;17.00.00;538
08.04.2004;18.00.00;808
08.04.2004;19.00.00;974
08.04.2004;20.00.00;544
08.04.2004;21.00.00;138
08.04.2004;22.00.00;92
08.04.2004;23.00.00;137
09.04.2004;00.00.00;189
09.04.2004;01.00.00;159
09.04.2004;02.00.00;80
09.04.2004;03.00.00;66
09.04.2004;04.00.00;87
09.04.2004;05.00.00;79
09.04.2004;06.00.00;150
09.04.2004;07.00.00;196
09.04.2004;08.00.00;299
09.04.2004;09.00.00;254
09.04.2004;10.00.00;226
09.04.2004;11.00.00;262
09.04.2004;12.00.00;505
09.04.2004;13.00.00;512
09.04.2004;14.00.00;159
09.04.2004;15.00.00;337
09.04.2004;16.00.00;357
09.04.2004;17.00.00;194
09.04.2004;18.00.00;278
09.04.2004;19.00.00;303
09.04.2004;20.00.00;234
09.04.2004;21.00.00;128
09.04.2004;22.00.00;160
09.04.2004;23.00.00;169
10.04.2004;00.00.00;77
10.04.2004;01.00.00;98
10.04.2004;02.00.00;102
10.04.2004;03.00.00;65
10.04.2004;04.00.00;69
10.04.2004;05.00.00;89
10.04.2004;06.00.00;134
10.04.2004;07.00.00;157
10.04.2004;08.00.00;167
10.04.2004;09.00.00;157
10.04.2004;10.00.00;172
10.04.2004;11.00.00;114
10.04.2004;12.00.00;166
10.04.2004;13.00.00;94
10.04.2004;14.00.00;108
10.04.2004;15.00.00;98
10.04.2004;16.00.00;132
10.04.2004;17.00.00;144
10.04.2004;18.00.00;165
10.04.2004;19.00.00;210
10.04.2004;20.00.00;277
10.04.2004;21.00.00;168
10.04.2004;22.00.00;248
10.04.2004;23.00.00;235
11.04.2004;00.00.00;84
11.04.2004;01.00.00;75
11.04.2004;02.00.00;62
11.04.2004;03.00.00;66
11.04.2004;04.00.00;49
11.04.2004;05.00.00;38
11.04.2004;06.00.00;44
11.04.2004;07.00.00;60
11.04.2004;08.00.00;88
11.04.2004;09.00.00;70
11.04.2004;10.00.00;94
11.04.2004;11.00.00;126
11.04.2004;12.00.00;181
11.04.2004;13.00.00;66
11.04.2004;14.00.00;54
11.04.2004;15.00.00;48
11.04.2004;16.00.00;66
11.04.2004;17.00.00;65
11.04.2004;18.00.00;68
11.04.2004;19.00.00;118
11.04.2004;20.00.00;65
11.04.2004;21.00.00;63
11.04.2004;22.00.00;61
11.04.2004;23.00.00;63
12.04.2004;00.00.00;31
12.04.2004;01.00.00;29
12.04.2004;02.00.00;34
12.04.2004;03.00.00;34
12.04.2004;04.00.00;9
12.04.2004;05.00.00;14
12.04.2004;06.00.00;23
12.04.2004;07.00.00;36
12.04.2004;08.00.00;39
12.04.2004;09.00.00;38
12.04.2004;10.00.00;55
12.04.2004;11.00.00;75
12.04.2004;12.00.00;64
12.04.2004;13.00.00;39
12.04.2004;14.00.00;42
12.04.2004;15.00.00;78
12.04.2004;16.00.00;69
12.04.2004;17.00.00;67
12.04.2004;18.00.00;83
12.04.2004;19.00.00;79
12.04.2004;20.00.00;68
12.04.2004;21.00.00;56
12.04.2004;22.00.00;49
12.04.2004;23.00.00;56
13.04.2004;00.00.00;48
13.04.2004;01.00.00;27
13.04.2004;02.00.00;29
13.04.2004;03.00.00;32
13.04.2004;04.00.00;47
13.04.2004;05.00.00;66
13.04.2004;06.00.00;163
13.04.2004;07.00.00;524
13.04.2004;08.00.00;657
13.04.2004;09.00.00;324
13.04.2004;10.00.00;144
13.04.2004;11.00.00;135
13.04.2004;12.00.00;140
13.04.2004;13.00.00;141
13.04.2004;14.00.00;181
13.04.2004;15.00.00;227
13.04.2004;16.00.00;149
13.04.2004;17.00.00;425
13.04.2004;18.00.00;669
13.04.2004;19.00.00;680
13.04.2004;20.00.00;446
13.04.2004;21.00.00;205
13.04.2004;22.00.00;194
13.04.2004;23.00.00;115
14.04.2004;00.00.00;74
14.04.2004;01.00.00;85
14.04.2004;02.00.00;66
14.04.2004;03.00.00;60
14.04.2004;04.00.00;40
14.04.2004;05.00.00;47
14.04.2004;06.00.00;116
14.04.2004;07.00.00;478
14.04.2004;08.00.00;836
14.04.2004;09.00.00;655
14.04.2004;10.00.00;312
14.04.2004;11.00.00;195
14.04.2004;12.00.00;238
14.04.2004;13.00.00;-200
14.04.2004;14.00.00;-200
14.04.2004;15.00.00;-200
14.04.2004;16.00.00;-200
14.04.2004;17.00.00;-200
14.04.2004;18.00.00;-200
14.04.2004;19.00.00;-200
14.04.2004;20.00.00;-200
14.04.2004;21.00.00;-200
14.04.2004;22.00.00;-200
14.04.2004;23.00.00;-200
15.04.2004;00.00.00;-200
15.04.2004;01.00.00;-200
15.04.2004;02.00.00;-200
15.04.2004;03.00.00;-200
15.04.2004;04.00.00;-200
15.04.2004;05.00.00;-200
15.04.2004;06.00.00;-200
15.04.2004;07.00.00;-200
15.04.2004;08.00.00;-200
15.04.2004;09.00.00;536
15.04.2004;10.00.00;481
15.04.2004;11.00.00;460
15.04.2004;12.00.00;597
15.04.2004;13.00.00;465
15.04.2004;14.00.00;542
15.04.2004;15.00.00;437
15.04.2004;16.00.00;383
15.04.2004;17.00.00;778
15.04.2004;18.00.00;926
15.04.2004;19.00.00;1189
15.04.2004;20.00.00;824
15.04.2004;21.00.00;660
15.04.2004;22.00.00;203
15.04.2004;23.00.00;136
16.04.2004;00.00.00;114
16.04.2004;01.00.00;110
16.04.2004;02.00.00;127
16.04.2004;03.00.00;68
16.04.2004;04.00.00;70
16.04.2004;05.00.00;93
16.04.2004;06.00.00;179
16.04.2004;07.00.00;523
16.04.2004;08.00.00;546
16.04.2004;09.00.00;251
16.04.2004;10.00.00;222
16.04.2004;11.00.00;212
16.04.2004;12.00.00;263
16.04.2004;13.00.00;535
16.04.2004;14.00.00;609
16.04.2004;15.00.00;449
16.04.2004;16.00.00;536
16.04.2004;17.00.00;743
16.04.2004;18.00.00;575
16.04.2004;19.00.00;783
16.04.2004;20.00.00;706
16.04.2004;21.00.00;299
16.04.2004;22.00.00;159
16.04.2004;23.00.00;171
17.04.2004;00.00.00;162
17.04.2004;01.00.00;111
17.04.2004;02.00.00;134
17.04.2004;03.00.00;-200
17.04.2004;04.00.00;-200
17.04.2004;05.00.00;-200
17.04.2004;06.00.00;-200
17.04.2004;07.00.00;-200
17.04.2004;08.00.00;-200
17.04.2004;09.00.00;-200
17.04.2004;10.00.00;-200
17.04.2004;11.00.00;-200
17.04.2004;12.00.00;-200
17.04.2004;13.00.00;-200
17.04.2004;14.00.00;-200
17.04.2004;15.00.00;-200
17.04.2004;16.00.00;-200
17.04.2004;17.00.00;-200
17.04.2004;18.00.00;-200
17.04.2004;19.00.00;-200
17.04.2004;20.00.00;-200
17.04.2004;21.00.00;-200
17.04.2004;22.00.00;-200
17.04.2004;23.00.00;-200
