Date;Time;PT08.S2(NMHC)
14.03.2004;11.00.00;1009
14.03.2004;12.00.00;1002
14.03.2004;13.00.00;880
14.03.2004;14.00.00;879
14.03.2004;15.00.00;906
14.03.2004;16.00.00;1045
14.03.2004;17.00.00;1051
14.03.2004;18.00.00;1055
14.03.2004;19.00.00;1312
14.03.2004;20.00.00;1381
14.03.2004;21.00.00;1140
14.03.2004;22.00.00;940
14.03.2004;23.00.00;933
15.03.2004;00.00.00;872
15.03.2004;01.00.00;853
15.03.2004;02.00.00;855
15.03.2004;03.00.00;734
15.03.2004;04.00.00;711
15.03.2004;05.00.00;703
15.03.2004;06.00.00;830
15.03.2004;07.00.00;966
15.03.2004;08.00.00;1451
15.03.2004;09.00.00;1701
15.03.2004;10.00.00;1470
15.03.2004;11.00.00;1300
15.03.2004;12.00.00;1120
15.03.2004;13.00.00;1146
15.03.2004;14.00.00;1162
15.03.2004;15.00.00;1053
15.03.2004;16.00.00;1033
15.03.2004;17.00.00;1141
15.03.2004;18.00.00;1601
15.03.2004;19.00.00;1754
15.03.2004;20.00.00;1573
15.03.2004;21.00.00;1294
15.03.2004;22.00.00;1159
15.03.2004;23.00.00;852
16.03.2004;00.00.00;1019
16.03.2004;01.00.00;784
16.03.2004;02.00.00;640
16.03.2004;03.00.00;608
16.03.2004;04.00.00;626
16.03.2004;05.00.00;585
16.03.2004;06.00.00;681
16.03.2004;07.00.00;770
16.03.2004;08.00.00;1185
16.03.2004;09.00.00;1287
16.03.2004;10.00.00;1431
16.03.2004;11.00.00;1297
16.03.2004;12.00.00;1250
16.03.2004;13.00.00;1359
16.03.2004;14.00.00;1309
16.03.2004;15.00.00;1136
16.03.2004;16.00.00;1197
16.03.2004;17.00.00;1173
16.03.2004;18.00.00;1235
16.03.2004;19.00.00;1271
16.03.2004;20.00.00;1173
16.03.2004;21.00.00;1426
16.03.2004;22.00.00;1101
16.03.2004;23.00.00;943
17.03.2004;00.00.00;925
17.03.2004;01.00.00;784
17.03.2004;02.00.00;714
17.03.2004;03.00.00;625
17.03.2004;04.00.00;577
17.03.2004;05.00.00;554
17.03.2004;06.00.00;576
17.03.2004;07.00.00;878
17.03.2004;08.00.00;1334
17.03.2004;09.00.00;1696
17.03.2004;10.00.00;1331
17.03.2004;11.00.00;1161
17.03.2004;12.00.00;1067
17.03.2004;13.00.00;1152
17.03.2004;14.00.00;1108
17.03.2004;15.00.00;994
17.03.2004;16.00.00;1154
17.03.2004;17.00.00;1060
17.03.2004;18.00.00;1478
17.03.2004;19.00.00;1737
17.03.2004;20.00.00;1667
17.03.2004;21.00.00;1485
17.03.2004;22.00.00;1150
17.03.2004;23.00.00;1171
18.03.2004;00.00.00;1083
18.03.2004;01.00.00;904
18.03.2004;02.00.00;787
18.03.2004;03.00.00;687
18.03.2004;04.00.00;645
18.03.2004;05.00.00;623
18.03.2004;06.00.00;650
18.03.2004;07.00.00;885
18.03.2004;08.00.00;1384
18.03.2004;09.00.00;1682
18.03.2004;10.00.00;1333
18.03.2004;11.00.00;1127
18.03.2004;12.00.00;1068
18.03.2004;13.00.00;1056
18.03.2004;14.00.00;1087
18.03.2004;15.00.00;1129
18.03.2004;16.00.00;1205
18.03.2004;17.00.00;1131
18.03.2004;18.00.00;1338
18.03.2004;19.00.00;1464
18.03.2004;20.00.00;1453
18.03.2004;21.00.00;1121
18.03.2004;22.00.00;989
18.03.2004;23.00.00;911
19.03.2004;00.00.00;936
19.03.2004;01.00.00;840
19.03.2004;02.00.00;688
19.03.2004;03.00.00;622
19.03.2004;04.00.00;569
19.03.2004;05.00.00;525
19.03.2004;06.00.00;607
19.03.2004;07.00.00;845
19.03.2004;08.00.00;1372
19.03.2004;09.00.00;1582
19.03.2004;10.00.00;1275
19.03.2004;11.00.00;1191
19.03.2004;12.00.00;1117
19.03.2004;13.00.00;1157
19.03.2004;14.00.00;1202
19.03.2004;15.00.00;1268
19.03.2004;16.00.00;1280
19.03.2004;17.00.00;1320
19.03.2004;18.00.00;1301
19.03.2004;19.00.00;1344
19.03.2004;20.00.00;1292
19.03.2004;21.00.00;1202
19.03.2004;22.00.00;945
19.03.2004;23.00.00;912
20.03.2004;00.00.00;802
20.03.2004;01.00.00;773
20.03.2004;02.00.00;718
20.03.2004;03.00.00;677
20.03.2004;04.00.00;646
20.03.2004;05.00.00;661
20.03.2004;06.00.00;622
20.03.2004;07.00.00;728
20.03.2004;08.00.00;935
20.03.2004;09.00.00;998
20.03.2004;10.00.00;1068
20.03.2004;11.00.00;1061
20.03.2004;12.00.00;1039
20.03.2004;13.00.00;1040
20.03.2004;14.00.00;953
20.03.2004;15.00.00;884
20.03.2004;16.00.00;844
20.03.2004;17.00.00;967
20.03.2004;18.00.00;1063
20.03.2004;19.00.00;1199
20.03.2004;20.00.00;1191
20.03.2004;21.00.00;1108
20.03.2004;22.00.00;973
20.03.2004;23.00.00;937
21.03.2004;00.00.00;999
21.03.2004;01.00.00;872
21.03.2004;02.00.00;823
21.03.2004;03.00.00;836
21.03.2004;04.00.00;802
21.03.2004;05.00.00;711
21.03.2004;06.00.00;594
21.03.2004;07.00.00;687
21.03.2004;08.00.00;734
21.03.2004;09.00.00;782
21.03.2004;10.00.00;862
21.03.2004;11.00.00;870
21.03.2004;12.00.00;883
21.03.2004;13.00.00;848
21.03.2004;14.00.00;742
21.03.2004;15.00.00;916
21.03.2004;16.00.00;853
21.03.2004;17.00.00;938
21.03.2004;18.00.00;1151
21.03.2004;19.00.00;1071
21.03.2004;20.00.00;1153
21.03.2004;21.00.00;974
21.03.2004;22.00.00;898
21.03.2004;23.00.00;896
22.03.2004;00.00.00;815
22.03.2004;01.00.00;767
22.03.2004;02.00.00;563
22.03.2004;03.00.00;468
22.03.2004;04.00.00;481
22.03.2004;05.00.00;472
22.03.2004;06.00.00;586
22.03.2004;07.00.00;768
22.03.2004;08.00.00;1230
22.03.2004;09.00.00;1252
22.03.2004;10.00.00;854
22.03.2004;11.00.00;868
22.03.2004;12.00.00;964
22.03.2004;13.00.00;994
22.03.2004;14.00.00;1021
22.03.2004;15.00.00;1003
22.03.2004;16.00.00;1034
22.03.2004;17.00.00;1062
22.03.2004;18.00.00;1249
22.03.2004;19.00.00;1325
22.03.2004;20.00.00;1325
22.03.2004;21.00.00;1131
22.03.2004;22.00.00;916
22.03.2004;23.00.00;729
23.03.2004;00.00.00;700
23.03.2004;01.00.00;636
23.03.2004;02.00.00;621
23.03.2004;03.00.00;522
23.03.2004;04.00.00;478
23.03.2004;05.00.00;459
23.03.2004;06.00.00;567
23.03.2004;07.00.00;745
23.03.2004;08.00.00;1124
23.03.2004;09.00.00;1325
23.03.2004;10.00.00;1185
23.03.2004;11.00.00;1166
23.03.2004;12.00.00;1097
23.03.2004;13.00.00;1207
23.03.2004;14.00.00;1064
23.03.2004;15.00.00;980
23.03.2004;16.00.00;927
23.03.2004;17.00.00;1111
23.03.2004;18.00.00;953
23.03.2004;19.00.00;1084
23.03.2004;20.00.00;1126
23.03.2004;21.00.00;884
23.03.2004;22.00.00;776
23.03.2004;23.00.00;782
24.03.2004;00.00.00;756
24.03.2004;01.00.00;744
24.03.2004;02.00.00;634
24.03.2004;03.00.00;551
24.03.2004;04.00.00;559
24.03.2004;05.00.00;522
24.03.2004;06.00.00;561
24.03.2004;07.00.00;751
24.03.2004;08.00.00;1109
24.03.2004;09.00.00;1395
24.03.2004;10.00.00;1124
24.03.2004;11.00.00;898
24.03.2004;12.00.00;842
24.03.2004;13.00.00;927
24.03.2004;14.00.00;1009
24.03.2004;15.00.00;842
24.03.2004;16.00.00;1028
24.03.2004;17.00.00;1096
24.03.2004;18.00.00;1050
24.03.2004;19.00.00;1302
24.03.2004;20.00.00;1130
24.03.2004;21.00.00;955
24.03.2004;22.00.00;809
24.03.2004;23.00.00;739
25.03.2004;00.00.00;737
25.03.2004;01.00.00;621
25.03.2004;02.00.00;568
25.03.2004;03.00.00;538
25.03.2004;04.00.00;490
25.03.2004;05.00.00;457
25.03.2004;06.00.00;540
25.03.2004;07.00.00;697
25.03.2004;08.00.00;1035
25.03.2004;09.00.00;1235
25.03.2004;10.00.00;933
25.03.2004;11.00.00;849
25.03.2004;12.00.00;809
25.03.2004;13.00.00;935
25.03.2004;14.00.00;907
25.03.2004;15.00.00;924
25.03.2004;16.00.00;982
25.03.2004;17.00.00;957
25.03.2004;18.00.00;1137
25.03.2004;19.00.00;1418
25.03.2004;20.00.00;1341
25.03.2004;21.00.00;989
25.03.2004;22.00.00;798
25.03.2004;23.00.00;736
26.03.2004;00.00.00;787
26.03.2004;01.00.00;753
26.03.2004;02.00.00;690
26.03.2004;03.00.00;561
26.03.2004;04.00.00;602
26.03.2004;05.00.00;654
26.03.2004;06.00.00;713
26.03.2004;07.00.00;842
26.03.2004;08.00.00;1201
26.03.2004;09.00.00;1278
26.03.2004;10.00.00;1142
26.03.2004;11.00.00;1098
26.03.2004;12.00.00;1014
26.03.2004;13.00.00;1068
26.03.2004;14.00.00;916
26.03.2004;15.00.00;776
26.03.2004;16.00.00;933
26.03.2004;17.00.00;1023
26.03.2004;18.00.00;1037
26.03.2004;19.00.00;1063
26.03.2004;20.00.00;1000
26.03.2004;21.00.00;811
26.03.2004;22.00.00;743
26.03.2004;23.00.00;715
27.03.2004;00.00.00;776
27.03.2004;01.00.00;664
27.03.2004;02.00.00;736
27.03.2004;03.00.00;699
27.03.2004;04.00.00;698
27.03.2004;05.00.00;578
27.03.2004;06.00.00;615
27.03.2004;07.00.00;669
27.03.2004;08.00.00;842
27.03.2004;09.00.00;919
27.03.2004;10.00.00;966
27.03.2004;11.00.00;955
27.03.2004;12.00.00;940
27.03.2004;13.00.00;979
27.03.2004;14.00.00;1072
27.03.2004;15.00.00;883
27.03.2004;16.00.00;1042
27.03.2004;17.00.00;1022
27.03.2004;18.00.00;1062
27.03.2004;19.00.00;1079
27.03.2004;20.00.00;1057
27.03.2004;21.00.00;930
27.03.2004;22.00.00;848
27.03.2004;23.00.00;924
28.03.2004;00.00.00;937
28.03.2004;01.00.00;912
28.03.2004;02.00.00;827
28.03.2004;03.00.00;911
28.03.2004;04.00.00;769
28.03.2004;05.00.00;626
28.03.2004;06.00.00;688
28.03.2004;07.00.00;691
28.03.2004;08.00.00;747
28.03.2004;09.00.00;880
28.03.2004;10.00.00;938
28.03.2004;11.00.00;958
28.03.2004;12.00.00;887
28.03.2004;13.00.00;796
28.03.2004;14.00.00;700
28.03.2004;15.00.00;754
28.03.2004;16.00.00;727
28.03.2004;17.00.00;714
28.03.2004;18.00.00;746
28.03.2004;19.00.00;823
28.03.2004;20.00.00;789
28.03.2004;21.00.00;669
28.03.2004;22.00.00;666
28.03.2004;23.00.00;648
29.03.2004;00.00.00;598
29.03.2004;01.00.00;524
29.03.2004;02.00.00;509
29.03.2004;03.00.00;524
29.03.2004;04.00.00;516
29.03.2004;05.00.00;559
29.03.2004;06.00.00;643
29.03.2004;07.00.00;1125
29.03.2004;08.00.00;1289
29.03.2004;09.00.00;786
29.03.2004;10.00.00;793
29.03.2004;11.00.00;803
29.03.2004;12.00.00;786
29.03.2004;13.00.00;833
29.03.2004;14.00.00;790
29.03.2004;15.00.00;776
29.03.2004;16.00.00;801
29.03.2004;17.00.00;896
29.03.2004;18.00.00;985
29.03.2004;19.00.00;907
29.03.2004;20.00.00;797
29.03.2004;21.00.00;700
29.03.2004;22.00.00;710
29.03.2004;23.00.00;643
30.03.2004;00.00.00;630
30.03.2004;01.00.00;569
30.03.2004;02.00.00;563
30.03.2004;03.00.00;540
30.03.2004;04.00.00;529
30.03.2004;05.00.00;605
30.03.2004;06.00.00;779
30.03.2004;07.00.00;1096
30.03.2004;08.00.00;1399
30.03.2004;09.00.00;1337
30.03.2004;10.00.00;1324
30.03.2004;11.00.00;1251
30.03.2004;12.00.00;1267
30.03.2004;13.00.00;1213
30.03.2004;14.00.00;992
30.03.2004;15.00.00;897
30.03.2004;16.00.00;820
30.03.2004;17.00.00;968
30.03.2004;18.00.00;962
30.03.2004;19.00.00;1047
30.03.2004;20.00.00;928
30.03.2004;21.00.00;746
30.03.2004;22.00.00;701
30.03.2004;23.00.00;747
31.03.2004;00.00.00;702
31.03.2004;01.00.00;631
31.03.2004;02.00.00;639
31.03.2004;03.00.00;496
31.03.2004;04.00.00;477
31.03.2004;05.00.00;545
31.03.2004;06.00.00;684
31.03.2004;07.00.00;1168
31.03.2004;08.00.00;1295
31.03.2004;09.00.00;924
31.03.2004;10.00.00;837
31.03.2004;11.00.00;886
31.03.2004;12.00.00;1025
31.03.2004;13.00.00;944
31.03.2004;14.00.00;1023
31.03.2004;15.00.00;1100
31.03.2004;16.00.00;980
31.03.2004;17.00.00;1026
31.03.2004;18.00.00;1041
31.03.2004;19.00.00;1033
31.03.2004;20.00.00;953
31.03.2004;21.00.00;787
31.03.2004;22.00.00;769
31.03.2004;23.00.00;754
01.04.2004;00.00.00;825
01.04.2004;01.00.00;770
01.04.2004;02.00.00;716
01.04.2004;03.00.00;713
01.04.2004;04.00.00;615
01.04.2004;05.00.00;648
01.04.2004;06.00.00;876
01.04.2004;07.00.00;1291
01.04.2004;08.00.00;1595
01.04.2004;09.00.00;1323
01.04.2004;10.00.00;1040
01.04.2004;11.00.00;850
01.04.2004;12.00.00;875
01.04.2004;13.00.00;924
01.04.2004;14.00.00;-200
01.04.2004;15.00.00;-200
01.04.2004;16.00.00;-200
01.04.2004;17.00.00;1193
01.04.2004;18.00.00;1331
01.04.2004;19.00.00;1429
01.04.2004;20.00.00;1302
01.04.2004;21.00.00;1007
01.04.2004;22.00.00;976
01.04.2004;23.00.00;920
02.04.2004;00.00.00;899
02.04.2004;01.00.00;795
02.04.2004;02.00.00;667
02.04.2004;03.00.00;673
02.04.2004;04.00.00;638
02.04.2004;05.00.00;628
02.04.2004;06.00.00;727
02.04.2004;07.00.00;1083
02.04.2004;08.00.00;1306
02.04.2004;09.00.00;1316
02.04.2004;10.00.00;1177
02.04.2004;11.00.00;1123
02.04.2004;12.00.00;1176
02.04.2004;13.00.00;1183
02.04.2004;14.00.00;1139
02.04.2004;15.00.00;1116
02.04.2004;16.00.00;1103
02.04.2004;17.00.00;1288
02.04.2004;18.00.00;1385
02.04.2004;19.00.00;1407
02.04.2004;20.00.00;1439
02.04.2004;21.00.00;1121
02.04.2004;22.00.00;982
02.04.2004;23.00.00;1052
03.04.2004;00.00.00;941
03.04.2004;01.00.00;827
03.04.2004;02.00.00;777
03.04.2004;03.00.00;697
03.04.2004;04.00.00;651
03.04.2004;05.00.00;673
03.04.2004;06.00.00;683
03.04.2004;07.00.00;959
03.04.2004;08.00.00;1154
03.04.2004;09.00.00;1126
03.04.2004;10.00.00;1023
03.04.2004;11.00.00;1030
03.04.2004;12.00.00;1096
03.04.2004;13.00.00;1000
03.04.2004;14.00.00;1006
03.04.2004;15.00.00;1046
03.04.2004;16.00.00;1102
03.04.2004;17.00.00;1156
03.04.2004;18.00.00;1213
03.04.2004;19.00.00;1471
03.04.2004;20.00.00;1124
03.04.2004;21.00.00;918
03.04.2004;22.00.00;1128
03.04.2004;23.00.00;952
04.04.2004;00.00.00;892
04.04.2004;01.00.00;843
04.04.2004;02.00.00;782
04.04.2004;03.00.00;793
04.04.2004;04.00.00;682
04.04.2004;05.00.00;650
04.04.2004;06.00.00;731
04.04.2004;07.00.00;684
04.04.2004;08.00.00;720
04.04.2004;09.00.00;900
04.04.2004;10.00.00;939
04.04.2004;11.00.00;902
04.04.2004;12.00.00;924
04.04.2004;13.00.00;860
04.04.2004;14.00.00;792
04.04.2004;15.00.00;977
04.04.2004;16.00.00;996
04.04.2004;17.00.00;983
04.04.2004;18.00.00;977
04.04.2004;19.00.00;1085
04.04.2004;20.00.00;997
04.04.2004;21.00.00;772
04.04.2004;22.00.00;853
04.04.2004;23.00.00;829
05.04.2004;00.00.00;750
05.04.2004;01.00.00;611
05.04.2004;02.00.00;600
05.04.2004;03.00.00;505
05.04.2004;04.00.00;489
05.04.2004;05.00.00;658
05.04.2004;06.00.00;822
05.04.2004;07.00.00;1089
05.04.2004;08.00.00;1449
05.04.2004;09.00.00;1247
05.04.2004;10.00.00;1127
05.04.2004;11.00.00;1107
05.04.2004;12.00.00;1171
05.04.2004;13.00.00;1162
05.04.2004;14.00.00;1069
05.04.2004;15.00.00;971
05.04.2004;16.00.00;963
05.04.2004;17.00.00;1190
05.04.2004;18.00.00;1290
05.04.2004;19.00.00;1239
05.04.2004;20.00.00;1102
05.04.2004;21.00.00;928
05.04.2004;22.00.00;885
05.04.2004;23.00.00;869
06.04.2004;00.00.00;718
06.04.2004;01.00.00;635
06.04.2004;02.00.00;547
06.04.2004;03.00.00;579
06.04.2004;04.00.00;569
06.04.2004;05.00.00;677
06.04.2004;06.00.00;920
06.04.2004;07.00.00;1407
06.04.2004;08.00.00;1636
06.04.2004;09.00.00;1350
06.04.2004;10.00.00;1119
06.04.2004;11.00.00;884
06.04.2004;12.00.00;1132
06.04.2004;13.00.00;1103
06.04.2004;14.00.00;1032
06.04.2004;15.00.00;947
06.04.2004;16.00.00;988
06.04.2004;17.00.00;1116
06.04.2004;18.00.00;1148
06.04.2004;19.00.00;1150
06.04.2004;20.00.00;1142
06.04.2004;21.00.00;918
06.04.2004;22.00.00;808
06.04.2004;23.00.00;752
07.04.2004;00.00.00;710
07.04.2004;01.00.00;603
07.04.2004;02.00.00;538
07.04.2004;03.00.00;464
07.04.2004;04.00.00;468
07.04.2004;05.00.00;478
07.04.2004;06.00.00;688
07.04.2004;07.00.00;1082
07.04.2004;08.00.00;1171
07.04.2004;09.00.00;925
07.04.2004;10.00.00;876
07.04.2004;11.00.00;839
07.04.2004;12.00.00;892
07.04.2004;13.00.00;943
07.04.2004;14.00.00;817
07.04.2004;15.00.00;880
07.04.2004;16.00.00;808
07.04.2004;17.00.00;1073
07.04.2004;18.00.00;1101
07.04.2004;19.00.00;1133
07.04.2004;20.00.00;1013
07.04.2004;21.00.00;666
07.04.2004;22.00.00;727
07.04.2004;23.00.00;861
08.04.2004;00.00.00;752
08.04.2004;01.00.00;798
08.04.2004;02.00.00;716
08.04.2004;03.00.00;672
08.04.2004;04.00.00;568
08.04.2004;05.00.00;642
08.04.2004;06.00.00;754
08.04.2004;07.00.00;1109
08.04.2004;08.00.00;1482
08.04.2004;09.00.00;1271
08.04.2004;10.00.00;1041
08.04.2004;11.00.00;1075
08.04.2004;12.00.00;1026
08.04.2004;13.00.00;1123
08.04.2004;14.00.00;1114
08.04.2004;15.00.00;1089
08.04.2004;16.00.00;1004
08.04.2004;17.00.00;1287
08.04.2004;18.00.00;1404
08.04.2004;19.00.00;1530
08.04.2004;20.00.00;1172
08.04.2004;21.00.00;857
08.04.2004;22.00.00;824
08.04.2004;23.00.00;-200
09.04.2004;00.00.00;-200
09.04.2004;01.00.00;-200
09.04.2004;02.00.00;-200
09.04.2004;03.00.00;-200
09.04.2004;04.00.00;-200
09.04.2004;05.00.00;-200
09.04.2004;06.00.00;-200
09.04.2004;07.00.00;-200
09.04.2004;08.00.00;-200
09.04.2004;09.00.00;-200
09.04.2004;10.00.00;-200
09.04.2004;11.00.00;-200
09.04.2004;12.00.00;-200
09.04.2004;13.00.00;-200
09.04.2004;14.00.00;-200
09.04.2004;15.00.00;-200
09.04.2004;16.00.00;-200
09.04.2004;17.00.00;-200
09.04.2004;18.00.00;-200
09.04.2004;19.00.00;-200
09.04.2004;20.00.00;-200
09.04.2004;21.00.00;-200
09.04.2004;22.00.00;-200
09.04.2004;23.00.00;917
10.04.2004;00.00.00;783
10.04.2004;01.00.00;854
10.04.2004;02.00.00;832
10.04.2004;03.00.00;687
10.04.2004;04.00.00;669
10.04.2004;05.00.00;708
10.04.2004;06.00.00;812
10.04.2004;07.00.00;906
10.04.2004;08.00.00;976
10.04.2004;09.00.00;931
10.04.2004;10.00.00;917
10.04.2004;11.00.00;877
10.04.2004;12.00.00;892
10.04.2004;13.00.00;829
10.04.2004;14.00.00;766
10.04.2004;15.00.00;852
10.04.2004;16.00.00;850
10.04.2004;17.00.00;875
10.04.2004;18.00.00;927
10.04.2004;19.00.00;1022
10.04.2004;20.00.00;996
10.04.2004;21.00.00;909
10.04.2004;22.00.00;1037
10.04.2004;23.00.00;967
11.04.2004;00.00.00;770
11.04.2004;01.00.00;711
11.04.2004;02.00.00;694
11.04.2004;03.00.00;709
11.04.2004;04.00.00;651
11.04.2004;05.00.00;643
11.04.2004;06.00.00;644
11.04.2004;07.00.00;651
11.04.2004;08.00.00;694
11.04.2004;09.00.00;706
11.04.2004;10.00.00;823
11.04.2004;11.00.00;870
11.04.2004;12.00.00;945
11.04.2004;13.00.00;710
11.04.2004;14.00.00;606
11.04.2004;15.00.00;658
11.04.2004;16.00.00;665
11.04.2004;17.00.00;672
11.04.2004;18.00.00;709
11.04.2004;19.00.00;797
11.04.2004;20.00.00;674
11.04.2004;21.00.00;680
11.04.2004;22.00.00;648
11.04.2004;23.00.00;661
12.04.2004;00.00.00;556
12.04.2004;01.00.00;514
12.04.2004;02.00.00;581
12.04.2004;03.00.00;560
12.04.2004;04.00.00;462
12.04.2004;05.00.00;448
12.04.2004;06.00.00;472
12.04.2004;07.00.00;494
12.04.2004;08.00.00;541
12.04.2004;09.00.00;598
12.04.2004;10.00.00;646
12.04.2004;11.00.00;707
12.04.2004;12.00.00;641
12.04.2004;13.00.00;536
12.04.2004;14.00.00;563
12.04.2004;15.00.00;689
12.04.2004;16.00.00;660
12.04.2004;17.00.00;682
12.04.2004;18.00.00;705
12.04.2004;19.00.00;776
12.04.2004;20.00.00;692
12.04.2004;21.00.00;635
12.04.2004;22.00.00;626
12.04.2004;23.00.00;610
13.04.2004;00.00.00;587
13.04.2004;01.00.00;532
13.04.2004;02.00.00;518
13.04.2004;03.00.00;530
13.04.2004;04.00.00;489
13.04.2004;05.00.00;656
13.04.2004;06.00.00;853
13.04.2004;07.00.00;1272
13.04.2004;08.00.00;1354
13.04.2004;09.00.00;1042
13.04.2004;10.00.00;871
13.04.2004;11.00.00;900
13.04.2004;12.00.00;866
13.04.2004;13.00.00;885
13.04.2004;14.00.00;966
13.04.2004;15.00.00;971
13.04.2004;16.00.00;887
13.04.2004;17.00.00;1158
13.04.2004;18.00.00;1337
13.04.2004;19.00.00;1343
13.04.2004;20.00.00;1138
13.04.2004;21.00.00;952
13.04.2004;22.00.00;954
13.04.2004;23.00.00;847
14.04.2004;00.00.00;760
14.04.2004;01.00.00;705
14.04.2004;02.00.00;635
14.04.2004;03.00.00;576
14.04.2004;04.00.00;563
14.04.2004;05.00.00;670
14.04.2004;06.00.00;875
14.04.2004;07.00.00;1246
14.04.2004;08.00.00;1497
14.04.2004;09.00.00;1248
14.04.2004;10.00.00;1061
14.04.2004;11.00.00;935
14.04.2004;12.00.00;993
14.04.2004;13.00.00;966
14.04.2004;14.00.00;1076
14.04.2004;15.00.00;1082
14.04.2004;16.00.00;934
14.04.2004;17.00.00;1014
14.04.2004;18.00.00;1072
14.04.2004;19.00.00;1095
14.04.2004;20.00.00;1242
14.04.2004;21.00.00;1085
14.04.2004;22.00.00;892
14.04.2004;23.00.00;805
15.04.2004;00.00.00;746
15.04.2004;01.00.00;660
15.04.2004;02.00.00;591
15.04.2004;03.00.00;559
15.04.2004;04.00.00;527
15.04.2004;05.00.00;625
15.04.2004;06.00.00;897
15.04.2004;07.00.00;1335
15.04.2004;08.00.00;1355
15.04.2004;09.00.00;1270
15.04.2004;10.00.00;1219
15.04.2004;11.00.00;1225
15.04.2004;12.00.00;1210
15.04.2004;13.00.00;1210
15.04.2004;14.00.00;1282
15.04.2004;15.00.00;1143
15.04.2004;16.00.00;1116
15.04.2004;17.00.00;1413
15.04.2004;18.00.00;1507
15.04.2004;19.00.00;1637
15.04.2004;20.00.00;1409
15.04.2004;21.00.00;1290
15.04.2004;22.00.00;952
15.04.2004;23.00.00;868
16.04.2004;00.00.00;863
16.04.2004;01.00.00;844
16.04.2004;02.00.00;810
16.04.2004;03.00.00;635
16.04.2004;04.00.00;686
16.04.2004;05.00.00;782
16.04.2004;06.00.00;978
16.04.2004;07.00.00;1384
16.04.2004;08.00.00;1258
16.04.2004;09.00.00;973
16.04.2004;10.00.00;983
16.04.2004;11.00.00;1014
16.04.2004;12.00.00;997
16.04.2004;13.00.00;1267
16.04.2004;14.00.00;1266
16.04.2004;15.00.00;1223
16.04.2004;16.00.00;1230
16.04.2004;17.00.00;1378
16.04.2004;18.00.00;1309
16.04.2004;19.00.00;1474
16.04.2004;20.00.00;1295
16.04.2004;21.00.00;1067
16.04.2004;22.00.00;963
16.04.2004;23.00.00;977
17.04.2004;00.00.00;904
17.04.2004;01.00.00;863
17.04.2004;02.00.00;829
17.04.2004;03.00.00;768
17.04.2004;04.00.00;652
17.04.2004;05.00.00;724
17.04.2004;06.00.00;769
17.04.2004;07.00.00;902
17.04.2004;08.00.00;930
17.04.2004;09.00.00;864
17.04.2004;10.00.00;949
17.04.2004;11.00.00;810
17.04.2004;12.00.00;763
