Date;Time;PT08.S5(O3)
19.03.2004;23.00.00;993
20.03.2004;00.00.00;837
20.03.2004;01.00.00;761
20.03.2004;02.00.00;650
20.03.2004;03.00.00;591
20.03.2004;04.00.00;505
20.03.2004;05.00.00;518
20.03.2004;06.00.00;571
20.03.2004;07.00.00;842
20.03.2004;08.00.00;1145
20.03.2004;09.00.00;1218
20.03.2004;10.00.00;1341
20.03.2004;11.00.00;1406
20.03.2004;12.00.00;1422
20.03.2004;13.00.00;1373
20.03.2004;14.00.00;1153
20.03.2004;15.00.00;927
20.03.2004;16.00.00;766
20.03.2004;17.00.00;941
20.03.2004;18.00.00;1146
20.03.2004;19.00.00;1417
20.03.2004;20.00.00;1442
20.03.2004;21.00.00;1323
20.03.2004;22.00.00;1125
20.03.2004;23.00.00;1036
21.03.2004;00.00.00;1202
21.03.2004;01.00.00;1054
21.03.2004;02.00.00;903
21.03.2004;03.00.00;885
21.03.2004;04.00.00;818
21.03.2004;05.00.00;700
21.03.2004;06.00.00;580
21.03.2004;07.00.00;815
21.03.2004;08.00.00;1035
21.03.2004;09.00.00;1067
21.03.2004;10.00.00;1114
21.03.2004;11.00.00;1000
21.03.2004;12.00.00;906
21.03.2004;13.00.00;822
21.03.2004;14.00.00;610
21.03.2004;15.00.00;657
21.03.2004;16.00.00;647
21.03.2004;17.00.00;762
21.03.2004;18.00.00;1122
21.03.2004;19.00.00;1130
21.03.2004;20.00.00;1637
21.03.2004;21.00.00;1272
21.03.2004;22.00.00;1098
21.03.2004;23.00.00;1066
22.03.2004;00.00.00;909
22.03.2004;01.00.00;818
22.03.2004;02.00.00;472
22.03.2004;03.00.00;394
22.03.2004;04.00.00;396
22.03.2004;05.00.00;378
22.03.2004;06.00.00;432
22.03.2004;07.00.00;699
22.03.2004;08.00.00;1252
22.03.2004;09.00.00;1237
22.03.2004;10.00.00;772
22.03.2004;11.00.00;766
22.03.2004;12.00.00;829
22.03.2004;13.00.00;783
22.03.2004;14.00.00;822
22.03.2004;15.00.00;813
22.03.2004;16.00.00;813
22.03.2004;17.00.00;850
22.03.2004;18.00.00;1276
22.03.2004;19.00.00;1401
22.03.2004;20.00.00;1356
22.03.2004;21.00.00;1243
22.03.2004;22.00.00;1083
22.03.2004;23.00.00;795
23.03.2004;00.00.00;735
23.03.2004;01.00.00;684
23.03.2004;02.00.00;714
23.03.2004;03.00.00;456
23.03.2004;04.00.00;401
23.03.2004;05.00.00;361
23.03.2004;06.00.00;418
23.03.2004;07.00.00;616
23.03.2004;08.00.00;1089
23.03.2004;09.00.00;1329
23.03.2004;10.00.00;1311
23.03.2004;11.00.00;1236
23.03.2004;12.00.00;1147
23.03.2004;13.00.00;1301
23.03.2004;14.00.00;1097
23.03.2004;15.00.00;900
23.03.2004;16.00.00;781
23.03.2004;17.00.00;1013
23.03.2004;18.00.00;790
23.03.2004;19.00.00;1059
23.03.2004;20.00.00;1205
23.03.2004;21.00.00;975
23.03.2004;22.00.00;896
23.03.2004;23.00.00;911
24.03.2004;00.00.00;902
24.03.2004;01.00.00;832
24.03.2004;02.00.00;715
24.03.2004;03.00.00;683
24.03.2004;04.00.00;721
24.03.2004;05.00.00;648
24.03.2004;06.00.00;612
24.03.2004;07.00.00;800
24.03.2004;08.00.00;1173
24.03.2004;09.00.00;1519
24.03.2004;10.00.00;1287
24.03.2004;11.00.00;966
24.03.2004;12.00.00;828
24.03.2004;13.00.00;825
24.03.2004;14.00.00;872
24.03.2004;15.00.00;680
24.03.2004;16.00.00;1002
24.03.2004;17.00.00;1159
24.03.2004;18.00.00;979
24.03.2004;19.00.00;1311
24.03.2004;20.00.00;1071
24.03.2004;21.00.00;899
24.03.2004;22.00.00;766
24.03.2004;23.00.00;589
25.03.2004;00.00.00;631
25.03.2004;01.00.00;479
25.03.2004;02.00.00;479
25.03.2004;03.00.00;417
25.03.2004;04.00.00;378
25.03.2004;05.00.00;344
25.03.2004;06.00.00;413
25.03.2004;07.00.00;605
25.03.2004;08.00.00;991
25.03.2004;09.00.00;1175
25.03.2004;10.00.00;923
25.03.2004;11.00.00;829
25.03.2004;12.00.00;733
25.03.2004;13.00.00;819
25.03.2004;14.00.00;723
25.03.2004;15.00.00;786
25.03.2004;16.00.00;850
25.03.2004;17.00.00;820
25.03.2004;18.00.00;991
25.03.2004;19.00.00;1454
25.03.2004;20.00.00;1488
25.03.2004;21.00.00;1205
25.03.2004;22.00.00;909
25.03.2004;23.00.00;769
26.03.2004;00.00.00;835
26.03.2004;01.00.00;793
26.03.2004;02.00.00;733
26.03.2004;03.00.00;502
26.03.2004;04.00.00;562
26.03.2004;05.00.00;832
26.03.2004;06.00.00;924
26.03.2004;07.00.00;974
26.03.2004;08.00.00;1307
26.03.2004;09.00.00;1481
26.03.2004;10.00.00;1405
26.03.2004;11.00.00;1195
26.03.2004;12.00.00;868
26.03.2004;13.00.00;874
26.03.2004;14.00.00;738
26.03.2004;15.00.00;550
26.03.2004;16.00.00;777
26.03.2004;17.00.00;966
26.03.2004;18.00.00;990
26.03.2004;19.00.00;944
26.03.2004;20.00.00;962
26.03.2004;21.00.00;778
26.03.2004;22.00.00;690
26.03.2004;23.00.00;644
27.03.2004;00.00.00;753
27.03.2004;01.00.00;646
27.03.2004;02.00.00;838
27.03.2004;03.00.00;851
27.03.2004;04.00.00;801
27.03.2004;05.00.00;665
27.03.2004;06.00.00;717
27.03.2004;07.00.00;795
27.03.2004;08.00.00;936
27.03.2004;09.00.00;1076
27.03.2004;10.00.00;1016
27.03.2004;11.00.00;834
27.03.2004;12.00.00;756
27.03.2004;13.00.00;766
27.03.2004;14.00.00;905
27.03.2004;15.00.00;765
27.03.2004;16.00.00;830
27.03.2004;17.00.00;853
27.03.2004;18.00.00;981
27.03.2004;19.00.00;1286
27.03.2004;20.00.00;1244
27.03.2004;21.00.00;1056
27.03.2004;22.00.00;1003
27.03.2004;23.00.00;1245
28.03.2004;00.00.00;1200
28.03.2004;01.00.00;1188
28.03.2004;02.00.00;1070
28.03.2004;03.00.00;1075
28.03.2004;04.00.00;895
28.03.2004;05.00.00;755
28.03.2004;06.00.00;806
28.03.2004;07.00.00;836
28.03.2004;08.00.00;897
28.03.2004;09.00.00;1073
28.03.2004;10.00.00;1088
28.03.2004;11.00.00;1036
28.03.2004;12.00.00;768
28.03.2004;13.00.00;587
28.03.2004;14.00.00;452
28.03.2004;15.00.00;470
28.03.2004;16.00.00;502
28.03.2004;17.00.00;516
28.03.2004;18.00.00;555
28.03.2004;19.00.00;671
28.03.2004;20.00.00;788
28.03.2004;21.00.00;538
28.03.2004;22.00.00;544
28.03.2004;23.00.00;500
29.03.2004;00.00.00;417
29.03.2004;01.00.00;341
29.03.2004;02.00.00;352
29.03.2004;03.00.00;397
29.03.2004;04.00.00;502
29.03.2004;05.00.00;648
29.03.2004;06.00.00;760
29.03.2004;07.00.00;1183
29.03.2004;08.00.00;1431
29.03.2004;09.00.00;705
29.03.2004;10.00.00;637
29.03.2004;11.00.00;658
29.03.2004;12.00.00;546
29.03.2004;13.00.00;561
29.03.2004;14.00.00;532
29.03.2004;15.00.00;535
29.03.2004;16.00.00;525
29.03.2004;17.00.00;603
29.03.2004;18.00.00;802
29.03.2004;19.00.00;796
29.03.2004;20.00.00;689
29.03.2004;21.00.00;553
29.03.2004;22.00.00;509
29.03.2004;23.00.00;455
30.03.2004;00.00.00;425
30.03.2004;01.00.00;436
30.03.2004;02.00.00;618
30.03.2004;03.00.00;747
30.03.2004;04.00.00;693
30.03.2004;05.00.00;691
30.03.2004;06.00.00;1013
30.03.2004;07.00.00;1311
30.03.2004;08.00.00;1675
30.03.2004;09.00.00;1689
30.03.2004;10.00.00;1688
30.03.2004;11.00.00;1548
30.03.2004;12.00.00;1490
30.03.2004;13.00.00;1354
30.03.2004;14.00.00;1014
30.03.2004;15.00.00;831
30.03.2004;16.00.00;699
30.03.2004;17.00.00;926
30.03.2004;18.00.00;928
30.03.2004;19.00.00;1038
30.03.2004;20.00.00;1035
30.03.2004;21.00.00;789
30.03.2004;22.00.00;692
30.03.2004;23.00.00;764
31.03.2004;00.00.00;639
31.03.2004;01.00.00;541
31.03.2004;02.00.00;678
31.03.2004;03.00.00;381
31.03.2004;04.00.00;343
31.03.2004;05.00.00;436
31.03.2004;06.00.00;688
31.03.2004;07.00.00;1438
31.03.2004;08.00.00;1489
31.03.2004;09.00.00;1093
31.03.2004;10.00.00;965
31.03.2004;11.00.00;1004
31.03.2004;12.00.00;1166
31.03.2004;13.00.00;991
31.03.2004;14.00.00;1054
31.03.2004;15.00.00;1192
31.03.2004;16.00.00;1055
31.03.2004;17.00.00;1048
31.03.2004;18.00.00;1073
31.03.2004;19.00.00;1068
31.03.2004;20.00.00;1019
31.03.2004;21.00.00;833
31.03.2004;22.00.00;759
31.03.2004;23.00.00;749
01.04.2004;00.00.00;978
01.04.2004;01.00.00;944
01.04.2004;02.00.00;891
01.04.2004;03.00.00;849
01.04.2004;04.00.00;790
01.04.2004;05.00.00;852
01.04.2004;06.00.00;987
01.04.2004;07.00.00;1435
01.04.2004;08.00.00;1798
01.04.2004;09.00.00;1677
01.04.2004;10.00.00;1282
01.04.2004;11.00.00;871
01.04.2004;12.00.00;759
01.04.2004;13.00.00;790
01.04.2004;14.00.00;-200
01.04.2004;15.00.00;-200
01.04.2004;16.00.00;-200
01.04.2004;17.00.00;1187
01.04.2004;18.00.00;1399
01.04.2004;19.00.00;1644
01.04.2004;20.00.00;1599
01.04.2004;21.00.00;1223
01.04.2004;22.00.00;1200
01.04.2004;23.00.00;1118
02.04.2004;00.00.00;1067
02.04.2004;01.00.00;1048
02.04.2004;02.00.00;718
02.04.2004;03.00.00;797
02.04.2004;04.00.00;749
02.04.2004;05.00.00;737
02.04.2004;06.00.00;903
02.04.2004;07.00.00;1159
02.04.2004;08.00.00;1365
02.04.2004;09.00.00;1510
02.04.2004;10.00.00;1386
02.04.2004;11.00.00;1368
02.04.2004;12.00.00;1347
02.04.2004;13.00.00;1242
02.04.2004;14.00.00;1138
02.04.2004;15.00.00;1080
02.04.2004;16.00.00;1002
02.04.2004;17.00.00;1212
02.04.2004;18.00.00;1486
02.04.2004;19.00.00;1567
02.04.2004;20.00.00;1723
02.04.2004;21.00.00;1399
02.04.2004;22.00.00;1291
02.04.2004;23.00.00;1443
03.04.2004;00.00.00;1270
03.04.2004;01.00.00;1110
03.04.2004;02.00.00;1060
03.04.2004;03.00.00;965
03.04.2004;04.00.00;891
03.04.2004;05.00.00;905
03.04.2004;06.00.00;899
03.04.2004;07.00.00;1136
03.04.2004;08.00.00;1391
03.04.2004;09.00.00;1460
03.04.2004;10.00.00;1410
03.04.2004;11.00.00;1372
03.04.2004;12.00.00;1266
03.04.2004;13.00.00;1014
03.04.2004;14.00.00;870
03.04.2004;15.00.00;905
03.04.2004;16.00.00;991
03.04.2004;17.00.00;1076
03.04.2004;18.00.00;1249
03.04.2004;19.00.00;1548
03.04.2004;20.00.00;1300
03.04.2004;21.00.00;1029
03.04.2004;22.00.00;1207
03.04.2004;23.00.00;1047
04.04.2004;00.00.00;923
04.04.2004;01.00.00;862
04.04.2004;02.00.00;752
04.04.2004;03.00.00;791
04.04.2004;04.00.00;697
04.04.2004;05.00.00;664
04.04.2004;06.00.00;891
04.04.2004;07.00.00;813
04.04.2004;08.00.00;828
04.04.2004;09.00.00;1057
04.04.2004;10.00.00;1011
04.04.2004;11.00.00;932
04.04.2004;12.00.00;881
04.04.2004;13.00.00;646
04.04.2004;14.00.00;536
04.04.2004;15.00.00;746
04.04.2004;16.00.00;833
04.04.2004;17.00.00;802
04.04.2004;18.00.00;838
04.04.2004;19.00.00;1051
04.04.2004;20.00.00;1041
04.04.2004;21.00.00;646
04.04.2004;22.00.00;769
04.04.2004;23.00.00;785
05.04.2004;00.00.00;613
05.04.2004;01.00.00;430
05.04.2004;02.00.00;485
05.04.2004;03.00.00;467
05.04.2004;04.00.00;436
05.04.2004;05.00.00;682
05.04.2004;06.00.00;927
05.04.2004;07.00.00;1192
05.04.2004;08.00.00;1615
05.04.2004;09.00.00;1505
05.04.2004;10.00.00;1451
05.04.2004;11.00.00;1409
05.04.2004;12.00.00;1434
05.04.2004;13.00.00;1457
05.04.2004;14.00.00;1325
05.04.2004;15.00.00;1120
05.04.2004;16.00.00;931
05.04.2004;17.00.00;1212
05.04.2004;18.00.00;1353
05.04.2004;19.00.00;1359
05.04.2004;20.00.00;1273
05.04.2004;21.00.00;1079
05.04.2004;22.00.00;973
05.04.2004;23.00.00;951
06.04.2004;00.00.00;714
06.04.2004;01.00.00;579
06.04.2004;02.00.00;542
06.04.2004;03.00.00;562
06.04.2004;04.00.00;526
06.04.2004;05.00.00;659
06.04.2004;06.00.00;1012
06.04.2004;07.00.00;1564
06.04.2004;08.00.00;1806
06.04.2004;09.00.00;1604
06.04.2004;10.00.00;1288
06.04.2004;11.00.00;931
06.04.2004;12.00.00;1162
06.04.2004;13.00.00;1064
06.04.2004;14.00.00;913
06.04.2004;15.00.00;684
06.04.2004;16.00.00;710
06.04.2004;17.00.00;923
06.04.2004;18.00.00;1006
06.04.2004;19.00.00;1083
06.04.2004;20.00.00;1161
06.04.2004;21.00.00;800
06.04.2004;22.00.00;647
06.04.2004;23.00.00;649
07.04.2004;00.00.00;575
07.04.2004;01.00.00;455
07.04.2004;02.00.00;392
07.04.2004;03.00.00;340
07.04.2004;04.00.00;320
07.04.2004;05.00.00;331
07.04.2004;06.00.00;426
07.04.2004;07.00.00;830
07.04.2004;08.00.00;1006
07.04.2004;09.00.00;820
07.04.2004;10.00.00;737
07.04.2004;11.00.00;790
07.04.2004;12.00.00;760
07.04.2004;13.00.00;767
07.04.2004;14.00.00;626
07.04.2004;15.00.00;776
07.04.2004;16.00.00;589
07.04.2004;17.00.00;872
07.04.2004;18.00.00;996
07.04.2004;19.00.00;1033
07.04.2004;20.00.00;982
07.04.2004;21.00.00;518
07.04.2004;22.00.00;631
07.04.2004;23.00.00;879
08.04.2004;00.00.00;839
08.04.2004;01.00.00;876
08.04.2004;02.00.00;827
08.04.2004;03.00.00;781
08.04.2004;04.00.00;699
08.04.2004;05.00.00;723
08.04.2004;06.00.00;797
08.04.2004;07.00.00;1138
08.04.2004;08.00.00;1605
08.04.2004;09.00.00;1569
08.04.2004;10.00.00;1319
08.04.2004;11.00.00;1198
08.04.2004;12.00.00;958
08.04.2004;13.00.00;1068
08.04.2004;14.00.00;1010
08.04.2004;15.00.00;928
08.04.2004;16.00.00;816
08.04.2004;17.00.00;1216
08.04.2004;18.00.00;1463
08.04.2004;19.00.00;1791
08.04.2004;20.00.00;1425
08.04.2004;21.00.00;922
08.04.2004;22.00.00;971
08.04.2004;23.00.00;-200
09.04.2004;00.00.00;-200
09.04.2004;01.00.00;-200
09.04.2004;02.00.00;-200
09.04.2004;03.00.00;-200
09.04.2004;04.00.00;-200
09.04.2004;05.00.00;-200
09.04.2004;06.00.00;-200
09.04.2004;07.00.00;-200
09.04.2004;08.00.00;-200
09.04.2004;09.00.00;-200
09.04.2004;10.00.00;-200
09.04.2004;11.00.00;-200
09.04.2004;12.00.00;-200
09.04.2004;13.00.00;-200
09.04.2004;14.00.00;-200
09.04.2004;15.00.00;-200
09.04.2004;16.00.00;-200
09.04.2004;17.00.00;-200
09.04.2004;18.00.00;-200
09.04.2004;19.00.00;-200
09.04.2004;20.00.00;-200
09.04.2004;21.00.00;-200
09.04.2004;22.00.00;-200
09.04.2004;23.00.00;1151
10.04.2004;00.00.00;975
10.04.2004;01.00.00;1034
10.04.2004;02.00.00;980
10.04.2004;03.00.00;825
10.04.2004;04.00.00;807
10.04.2004;05.00.00;842
10.04.2004;06.00.00;950
10.04.2004;07.00.00;1024
10.04.2004;08.00.00;1098
10.04.2004;09.00.00;1011
10.04.2004;10.00.00;931
10.04.2004;11.00.00;811
10.04.2004;12.00.00;756
10.04.2004;13.00.00;607
10.04.2004;14.00.00;498
10.04.2004;15.00.00;540
10.04.2004;16.00.00;544
10.04.2004;17.00.00;620
10.04.2004;18.00.00;740
10.04.2004;19.00.00;921
10.04.2004;20.00.00;1033
10.04.2004;21.00.00;984
10.04.2004;22.00.00;1193
10.04.2004;23.00.00;1219
11.04.2004;00.00.00;913
11.04.2004;01.00.00;750
11.04.2004;02.00.00;772
11.04.2004;03.00.00;712
11.04.2004;04.00.00;712
11.04.2004;05.00.00;727
11.04.2004;06.00.00;746
11.04.2004;07.00.00;733
11.04.2004;08.00.00;727
11.04.2004;09.00.00;642
11.04.2004;10.00.00;810
11.04.2004;11.00.00;851
11.04.2004;12.00.00;911
11.04.2004;13.00.00;611
11.04.2004;14.00.00;368
11.04.2004;15.00.00;369
11.04.2004;16.00.00;394
11.04.2004;17.00.00;415
11.04.2004;18.00.00;469
11.04.2004;19.00.00;607
11.04.2004;20.00.00;498
11.04.2004;21.00.00;481
11.04.2004;22.00.00;465
11.04.2004;23.00.00;478
12.04.2004;00.00.00;366
12.04.2004;01.00.00;332
12.04.2004;02.00.00;346
12.04.2004;03.00.00;350
12.04.2004;04.00.00;274
12.04.2004;05.00.00;263
12.04.2004;06.00.00;314
12.04.2004;07.00.00;367
12.04.2004;08.00.00;432
12.04.2004;09.00.00;536
12.04.2004;10.00.00;555
12.04.2004;11.00.00;677
12.04.2004;12.00.00;557
12.04.2004;13.00.00;421
12.04.2004;14.00.00;423
12.04.2004;15.00.00;519
12.04.2004;16.00.00;533
12.04.2004;17.00.00;537
12.04.2004;18.00.00;612
12.04.2004;19.00.00;697
12.04.2004;20.00.00;573
12.04.2004;21.00.00;489
12.04.2004;22.00.00;474
12.04.2004;23.00.00;455
13.04.2004;00.00.00;433
13.04.2004;01.00.00;376
13.04.2004;02.00.00;360
13.04.2004;03.00.00;384
13.04.2004;04.00.00;363
13.04.2004;05.00.00;525
13.04.2004;06.00.00;873
13.04.2004;07.00.00;1399
13.04.2004;08.00.00;1501
13.04.2004;09.00.00;1186
13.04.2004;10.00.00;911
13.04.2004;11.00.00;919
13.04.2004;12.00.00;791
13.04.2004;13.00.00;751
13.04.2004;14.00.00;805
13.04.2004;15.00.00;966
13.04.2004;16.00.00;869
13.04.2004;17.00.00;1196
13.04.2004;18.00.00;1523
13.04.2004;19.00.00;1579
13.04.2004;20.00.00;1370
13.04.2004;21.00.00;1204
13.04.2004;22.00.00;1201
13.04.2004;23.00.00;1122
14.04.2004;00.00.00;1003
14.04.2004;01.00.00;918
14.04.2004;02.00.00;836
14.04.2004;03.00.00;759
14.04.2004;04.00.00;755
14.04.2004;05.00.00;820
14.04.2004;06.00.00;998
14.04.2004;07.00.00;1403
14.04.2004;08.00.00;1641
14.04.2004;09.00.00;1534
14.04.2004;10.00.00;1257
14.04.2004;11.00.00;1026
14.04.2004;12.00.00;993
14.04.2004;13.00.00;919
14.04.2004;14.00.00;1032
14.04.2004;15.00.00;1077
14.04.2004;16.00.00;883
14.04.2004;17.00.00;1036
14.04.2004;18.00.00;1144
14.04.2004;19.00.00;1212
14.04.2004;20.00.00;1486
14.04.2004;21.00.00;1440
14.04.2004;22.00.00;1242
14.04.2004;23.00.00;1089
15.04.2004;00.00.00;993
15.04.2004;01.00.00;862
15.04.2004;02.00.00;815
15.04.2004;03.00.00;714
15.04.2004;04.00.00;682
15.04.2004;05.00.00;744
15.04.2004;06.00.00;1050
15.04.2004;07.00.00;1522
15.04.2004;08.00.00;1623
15.04.2004;09.00.00;1638
15.04.2004;10.00.00;1633
15.04.2004;11.00.00;1654
15.04.2004;12.00.00;1559
15.04.2004;13.00.00;1374
15.04.2004;14.00.00;1418
15.04.2004;15.00.00;1228
15.04.2004;16.00.00;1293
15.04.2004;17.00.00;1642
15.04.2004;18.00.00;1895
15.04.2004;19.00.00;2086
15.04.2004;20.00.00;1898
15.04.2004;21.00.00;1758
15.04.2004;22.00.00;1284
15.04.2004;23.00.00;1075
16.04.2004;00.00.00;1084
16.04.2004;01.00.00;1049
16.04.2004;02.00.00;1021
16.04.2004;03.00.00;778
16.04.2004;04.00.00;948
16.04.2004;05.00.00;988
16.04.2004;06.00.00;1184
16.04.2004;07.00.00;1600
16.04.2004;08.00.00;1495
16.04.2004;09.00.00;1188
16.04.2004;10.00.00;1166
16.04.2004;11.00.00;1219
16.04.2004;12.00.00;1128
16.04.2004;13.00.00;1373
16.04.2004;14.00.00;1415
16.04.2004;15.00.00;1302
16.04.2004;16.00.00;1308
16.04.2004;17.00.00;1449
16.04.2004;18.00.00;1385
16.04.2004;19.00.00;1492
16.04.2004;20.00.00;1380
16.04.2004;21.00.00;1167
16.04.2004;22.00.00;1095
16.04.2004;23.00.00;1105
17.04.2004;00.00.00;1051
17.04.2004;01.00.00;1009
17.04.2004;02.00.00;972
17.04.2004;03.00.00;884
17.04.2004;04.00.00;661
17.04.2004;05.00.00;774
17.04.2004;06.00.00;868
